ID,Goles,Goles_de_no_penalti,Penaltis_convertidos,Penaltis_intentados,Tiros_de_falta,Goles,Tiros,Tiros_a_puerta,Porcent_tiros,Tiros/90,Tiros_a_puerta/90,Goles/tiros,Goles/tiros_a_puerta,Media_distancia_de_tiro
651,0,0,0,0,0,0,1,0,"0,00%",5.00,0.00,0.00,0,9.9
652,0,0,0,0,0,0,3,0,"0,00%",0.77,0.00,0.00,0,21.4
653,0,0,0,0,0,5,22,10,"45,45%",3.24,1.47,0.14,0.30,15.7
654,5,3,2,2,0,0,0,0,"0,00%",0.00,0.00,0,0,0
655,0,0,0,0,0,0,12,1,"8,33%",2.00,0.17,0.00,0.00,26.9
656,0,0,0,0,2,1,4,2,"50,00%",0.74,0.37,0.00,0.00,24.2
657,1,0,1,1,0,0,2,1,"50,00%",0.33,0.17,0.00,0.00,12.7
658,0,0,0,0,0,0,7,3,"42,86%",1.51,0.65,0.00,0.00,16.4
659,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
660,0,0,0,0,0,0,4,1,"25,00%",3.87,0.97,0.00,0.00,22.6
661,0,0,0,0,0,0,9,2,"22,22%",1.87,0.42,0.00,0.00,17.1
662,0,0,0,0,0,0,7,1,"14,29%",4.34,0.62,0.00,0.00,21.1
663,0,0,0,0,0,0,4,0,"0,00%",0.92,0.00,0.00,0,18.9
664,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
665,0,0,0,0,0,0,1,0,"0,00%",1.20,0.00,0.00,0,9.5
666,0,0,0,0,0,0,3,0,"0,00%",0.98,0.00,0.00,0,12.2
667,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
668,0,0,0,0,0,0,2,0,"0,00%",0.74,0.00,0.00,0,20.0
669,0,0,0,0,0,0,2,0,"0,00%",0.34,0.00,0.00,0,10.8
670,0,0,0,0,0,0,2,0,"0,00%",0.22,0.00,0.00,0,18.1
671,0,0,0,0,0,0,9,1,"11,11%",0.77,0.09,0.00,0.00,21.6
672,0,0,0,0,0,1,1,1,"100,00%",0.95,0.95,1.00,1.00,14.9
673,1,1,0,0,0,3,7,3,"42,86%",3.35,1.44,0.43,1.00,13.5
674,3,3,0,0,0,0,1,0,"0,00%",5.29,0.00,0.00,0,12.4
675,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
676,0,0,0,0,1,2,9,4,"44,44%",2.10,0.93,0.22,0.50,18.9
677,2,2,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
678,0,0,0,0,1,0,3,0,"0,00%",0.79,0.00,0.00,0,17.6
679,0,0,0,0,0,0,3,1,"33,33%",2.62,0.87,0.00,0.00,25.9
680,0,0,0,0,0,0,2,1,"50,00%",0.30,0.15,0.00,0.00,12.3
681,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
682,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
683,0,0,0,0,0,0,2,0,"0,00%",0.48,0.00,0.00,0,16.5
684,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
685,0,0,0,0,0,0,6,1,"16,67%",3.12,0.52,0.00,0.00,20.1
686,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
687,0,0,0,0,0,1,9,2,"22,22%",1.33,0.30,0.00,0.00,27.1
688,1,0,1,1,0,0,0,0,"0,00%",0.00,0.00,0,0,0
689,0,0,0,0,1,2,24,8,"33,33%",2.23,0.74,0.08,0.25,22.3
690,2,2,0,0,0,0,12,5,"41,67%",1.50,0.62,0.00,0.00,10.5
691,0,0,0,0,1,0,4,0,"0,00%",0.51,0.00,0.00,0,17.7
692,0,0,0,0,2,0,3,2,"66,67%",0.75,0.50,0.00,0.00,22.9
693,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
694,0,0,0,0,1,0,3,2,"66,67%",0.56,0.37,0.00,0.00,23.1
695,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
696,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
697,0,0,0,0,0,0,2,0,"0,00%",0.29,0.00,0.00,0,25.0
698,0,0,0,0,0,0,5,2,"40,00%",0.77,0.31,0.00,0.00,22.6
699,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
700,0,0,0,0,0,1,15,7,"46,67%",3.28,1.53,0.07,0.14,11.8
701,1,1,0,0,0,1,10,3,"30,00%",1.97,0.59,0.10,0.33,19.8
702,1,1,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
703,0,0,0,0,0,0,1,0,"0,00%",0.32,0.00,0.00,0,31.3
704,0,0,0,0,0,0,1,0,"0,00%",2.50,0.00,0.00,0,20.8
705,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
706,0,0,0,0,0,0,2,1,"50,00%",1.26,0.63,0.00,0.00,25.3
707,0,0,0,0,0,2,13,6,"46,15%",2.34,01.08,0.15,0.33,12.5
