ID,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Regates intentados,Regates completados,Porcent_regates,Defensa al regate,Porcent_defensa al regate,Conducciones,Distancia total conducciones,Distancia traslado progresivo,Distancia traslado progresivo,Conducciones ultimo 1/3,Conducciones al area,Error control,Perdida balon,Pases recibidos,Pases progresivos recibidos
327,335,7,18,163,159,36,333,26,8,"30,77%",14,"53,85%",200,1115,408,13,10,7,16,14,259,76
328,95,1,24,33,39,2,95,4,1,"25,00%",2,"50,00%",74,446,205,9,8,0,4,0,68,10
329,8,1,4,4,0,0,8,1,0,"0,00%",1,"100,00%",2,37,9,0,0,0,1,1,3,0
330,32,0,4,11,17,5,32,4,2,"50,00%",0,"0,00%",22,206,120,6,3,3,6,5,21,8
331,191,2,18,90,88,10,191,34,12,"35,29%",20,"58,82%",140,1014,408,16,14,5,10,14,134,38
332,215,6,38,123,58,10,215,2,1,"50,00%",0,"0,00%",142,716,276,5,3,0,6,1,164,17
333,267,44,148,112,8,4,267,0,0,"0,00%",0,"0,00%",120,532,233,3,1,1,2,1,185,0
334,813,28,187,461,166,4,812,9,3,"33,33%",4,"44,44%",538,2657,1012,8,8,0,3,6,564,5
335,110,13,58,48,4,0,110,0,0,"0,00%",0,"0,00%",86,473,221,1,1,0,1,1,84,0
336,232,25,129,95,8,1,232,2,1,"50,00%",1,"50,00%",154,652,321,0,1,0,0,0,153,0
337,334,51,201,129,5,4,334,0,0,"0,00%",0,"0,00%",175,893,558,2,1,0,3,0,212,0
338,229,9,34,99,100,6,229,8,3,"37,50%",5,"62,50%",130,875,401,14,13,2,9,8,111,16
339,76,3,20,39,18,4,76,1,0,"0,00%",1,"100,00%",45,110,21,0,0,0,1,0,49,7
340,13,1,2,6,5,3,13,0,0,"0,00%",0,"0,00%",9,18,5,0,0,0,1,1,13,2
341,27,3,12,11,4,0,27,1,0,"0,00%",1,"100,00%",16,64,21,0,1,0,0,0,17,2
342,174,3,48,85,45,7,174,14,8,"57,14%",4,"28,57%",96,704,388,10,6,3,8,4,94,9
343,154,120,154,0,0,0,154,0,0,"0,00%",0,"0,00%",104,476,164,0,0,0,0,0,88,0
344,154,124,154,0,0,0,154,0,0,"0,00%",0,"0,00%",91,496,241,0,0,0,0,0,44,0
345,11,0,2,4,5,1,11,0,0,"0,00%",0,"0,00%",6,24,3,0,0,0,1,0,7,2
346,271,5,47,170,54,4,271,0,0,"0,00%",0,"0,00%",183,654,273,1,2,0,1,0,216,7
347,133,5,39,80,17,3,133,2,1,"50,00%",1,"50,00%",94,480,278,5,4,0,2,0,88,8
348,172,1,13,90,72,22,172,18,6,"33,33%",8,"44,44%",110,656,242,11,9,5,27,15,128,36
349,170,20,90,72,10,4,170,3,1,"33,33%",1,"33,33%",85,480,296,1,4,0,1,0,107,0
350,250,4,37,160,54,5,250,2,1,"50,00%",1,"50,00%",182,761,287,2,5,2,3,0,169,2
351,259,21,119,108,33,7,259,3,1,"33,33%",1,"33,33%",144,634,350,6,6,0,3,1,156,12
352,30,2,7,11,12,2,30,2,0,"0,00%",1,"50,00%",15,110,42,2,0,0,2,3,15,4
353,366,25,136,210,25,5,366,4,3,"75,00%",1,"25,00%",189,1020,649,8,4,0,4,1,234,4
354,278,6,24,109,150,18,278,5,2,"40,00%",3,"60,00%",183,1109,583,25,12,4,7,5,198,57
355,435,41,179,240,21,8,435,1,1,"100,00%",0,"0,00%",287,1328,816,8,6,0,2,0,290,0
356,241,13,72,139,30,3,241,3,2,"66,67%",1,"33,33%",174,1042,614,6,9,0,2,4,181,4
357,568,7,102,366,104,3,568,14,8,"57,14%",6,"42,86%",440,2141,898,10,16,0,12,9,453,9
358,6,0,1,3,2,2,6,0,0,"0,00%",0,"0,00%",2,9,0,0,0,0,0,0,3,0
359,965,25,215,592,166,2,965,4,2,"50,00%",1,"25,00%",644,2560,1268,8,13,1,6,3,761,8
360,421,29,117,241,67,7,421,8,4,"50,00%",2,"25,00%",233,1088,452,8,9,1,9,7,249,11
