ID,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Regates intentados,Regates completados,Porcent_regates,Defensa al regate,Porcent_defensa al regate,Conducciones,Distancia total conducciones,Distancia traslado progresivo,Distancia traslado progresivo,Conducciones ultimo 1/3,Conducciones al area,Error control,Perdida balon,Pases recibidos,Pases progresivos recibidos
516,80,6,19,40,23,1,80,4,1,"25,00%",2,"50,00%",45,195,93,3,5,1,0,0,46,15
517,300,267,300,0,0,0,300,0,0,"0,00%",0,"0,00%",215,843,416,0,0,0,0,0,191,0
518,111,7,28,63,22,5,111,1,1,"100,00%",0,"0,00%",62,286,112,3,2,0,10,8,79,8
519,26,0,2,7,17,5,26,5,3,"60,00%",2,"40,00%",17,159,70,3,2,3,1,4,19,5
520,640,58,247,309,84,10,640,2,1,"50,00%",1,"50,00%",405,1718,1010,7,5,0,1,2,470,20
521,292,55,133,150,14,3,292,6,3,"50,00%",3,"50,00%",146,1200,860,9,4,0,5,0,129,2
522,68,0,1,25,42,2,68,2,1,"50,00%",1,"50,00%",63,268,86,2,0,1,4,1,59,14
523,329,3,24,177,134,11,329,13,9,"69,23%",4,"30,77%",227,1336,629,16,20,5,6,7,260,30
524,151,5,35,61,58,0,151,12,3,"25,00%",9,"75,00%",63,335,172,4,7,0,2,5,80,14
525,43,36,41,2,0,0,43,0,0,"0,00%",0,"0,00%",25,107,78,0,0,0,0,0,21,0
526,236,21,122,105,9,4,236,2,0,"0,00%",1,"50,00%",151,729,266,0,1,0,3,1,145,0
527,418,19,120,201,103,17,418,33,12,"36,36%",19,"57,58%",259,1597,863,21,11,4,13,9,245,26
528,384,42,177,197,17,5,384,6,4,"66,67%",2,"33,33%",287,1558,691,3,4,1,6,2,260,1
529,399,83,266,124,10,4,399,1,1,"100,00%",0,"0,00%",211,881,483,1,2,0,1,1,220,2
530,60,55,60,0,0,0,60,0,0,"0,00%",0,"0,00%",43,165,107,0,0,0,0,0,30,0
531,358,24,100,112,148,10,358,12,8,"66,67%",4,"33,33%",164,855,460,21,6,2,8,2,176,48
532,180,43,122,49,9,7,180,0,0,"0,00%",0,"0,00%",67,265,42,0,0,0,1,0,97,0
533,267,10,25,169,74,14,267,14,3,"21,43%",10,"71,43%",196,861,198,4,5,0,18,27,231,32
534,59,3,16,20,23,3,59,1,0,"0,00%",1,"100,00%",34,198,115,5,1,1,2,0,42,16
535,51,1,5,40,6,0,51,0,0,"0,00%",0,"0,00%",33,143,29,1,1,0,1,1,42,0
536,135,13,15,59,62,14,135,4,1,"25,00%",3,"75,00%",80,553,182,8,7,3,20,8,94,20
537,63,0,7,18,38,8,63,6,2,"33,33%",4,"66,67%",37,298,114,4,2,0,2,2,46,10
538,2,1,1,1,0,0,2,0,0,"0,00%",0,"0,00%",2,43,31,1,1,0,0,0,2,0
539,264,15,77,180,7,1,264,0,0,"0,00%",0,"0,00%",179,1044,708,1,2,0,1,1,204,1
540,99,0,13,55,32,6,99,2,1,"50,00%",0,"0,00%",48,181,110,2,4,0,1,0,67,4
541,1,0,1,0,0,0,1,1,1,"100,00%",0,"0,00%",2,32,0,0,0,0,0,1,1,0
542,235,5,40,75,124,17,234,12,4,"33,33%",5,"41,67%",167,1395,743,28,19,6,6,4,165,47
543,302,20,118,111,78,2,302,19,7,"36,84%",8,"42,11%",169,894,474,11,10,0,8,8,170,21
544,43,2,8,12,23,0,43,4,0,"0,00%",4,"100,00%",18,138,62,1,3,0,1,1,20,3
545,25,2,5,12,8,0,25,0,0,"0,00%",0,"0,00%",13,40,5,0,0,0,4,0,15,1
546,88,0,7,34,47,9,88,9,1,"11,11%",8,"88,89%",67,485,212,6,8,3,4,5,68,11
547,310,10,50,170,93,12,310,8,4,"50,00%",2,"25,00%",201,1181,492,13,15,3,12,7,211,24
548,286,8,76,145,68,5,286,2,1,"50,00%",1,"50,00%",165,593,273,3,5,1,8,2,218,14
549,232,13,27,88,118,34,232,9,5,"55,56%",4,"44,44%",133,642,203,6,5,4,19,9,171,32
550,615,94,318,260,41,8,615,3,3,"100,00%",0,"0,00%",491,2615,1196,3,8,0,3,1,445,4
551,4,1,3,0,1,0,4,0,0,"0,00%",0,"0,00%",3,16,0,0,0,0,0,0,3,0
552,219,3,16,77,127,11,219,6,1,"16,67%",5,"83,33%",148,672,296,9,6,4,7,5,160,37
553,135,1,10,74,53,14,135,3,0,"0,00%",3,"100,00%",88,330,81,5,1,3,4,4,103,18
554,402,16,149,131,125,11,402,5,4,"80,00%",1,"20,00%",239,1006,511,15,7,1,5,3,253,42
555,134,1,18,53,67,13,134,10,3,"30,00%",5,"50,00%",81,491,254,10,6,2,9,7,93,27
556,379,51,182,170,29,6,379,2,0,"0,00%",1,"50,00%",247,962,512,5,2,0,3,5,279,7
557,38,2,22,15,1,0,38,0,0,"0,00%",0,"0,00%",24,66,31,1,0,0,1,0,33,0
558,169,12,63,69,40,8,169,1,0,"0,00%",1,"100,00%",84,277,145,6,5,1,4,3,84,16
559,130,4,22,53,56,14,130,6,3,"50,00%",3,"50,00%",75,437,196,6,3,2,3,4,84,14
560,214,3,24,113,80,13,214,14,5,"35,71%",7,"50,00%",129,749,326,8,10,3,7,4,152,24
561,154,3,16,57,83,25,154,8,3,"37,50%",4,"50,00%",98,490,238,9,10,3,9,7,112,30
562,230,26,101,91,41,0,230,1,0,"0,00%",1,"100,00%",137,729,343,9,7,0,3,1,145,9
563,6,0,2,4,0,0,6,0,0,"0,00%",0,"0,00%",4,11,0,0,0,0,0,0,4,0
564,211,1,22,109,80,12,211,0,0,"0,00%",0,"0,00%",130,466,263,5,5,0,1,0,158,20
565,320,9,78,136,108,8,320,5,3,"60,00%",2,"40,00%",186,866,482,9,6,2,4,1,211,29
566,8,0,3,1,4,1,8,0,0,"0,00%",0,"0,00%",4,9,1,0,0,0,0,2,6,1
567,224,2,33,154,37,5,224,1,0,"0,00%",1,"100,00%",141,580,278,7,2,0,2,6,159,6
568,1093,28,172,724,206,14,1093,9,9,"100,00%",0,"0,00%",682,3077,1801,22,20,1,6,7,851,6
569,476,11,38,198,247,51,474,37,14,"37,84%",18,"48,65%",310,1770,937,38,17,18,11,13,388,82
570,482,47,201,250,36,3,482,2,0,"0,00%",2,"100,00%",295,1437,867,9,7,0,2,2,327,8
571,463,7,64,292,109,8,463,6,4,"66,67%",1,"16,67%",372,2012,1008,10,16,0,7,4,348,9
572,68,5,20,36,13,1,68,1,0,"0,00%",1,"100,00%",30,102,46,0,1,0,1,0,35,4
573,545,74,280,256,11,4,545,1,1,"100,00%",0,"0,00%",399,2060,1216,2,3,0,0,0,394,1
574,457,67,251,191,18,6,457,0,0,"0,00%",0,"0,00%",272,1080,564,3,5,0,1,0,329,0
575,72,5,30,35,7,3,72,1,0,"0,00%",1,"100,00%",38,163,103,0,0,0,2,0,44,1
576,349,7,99,171,86,5,349,5,3,"60,00%",2,"40,00%",222,785,460,12,7,1,1,0,218,17
577,237,5,61,135,41,8,237,7,5,"71,43%",0,"0,00%",207,898,334,4,2,2,5,2,197,15
578,22,1,1,9,12,5,22,2,2,"100,00%",0,"0,00%",14,75,46,3,0,2,1,0,13,3
579,68,52,68,0,0,0,68,0,0,"0,00%",0,"0,00%",27,196,113,0,0,0,0,0,29,0
580,8,4,5,2,1,0,8,0,0,"0,00%",0,"0,00%",2,28,25,1,1,0,0,0,2,0
581,192,10,46,87,59,5,192,2,1,"50,00%",0,"0,00%",120,487,277,5,5,0,5,2,128,18
582,201,6,31,62,110,8,201,22,13,"59,09%",9,"40,91%",118,730,363,13,7,4,9,4,134,26
583,89,2,10,36,47,10,89,8,2,"25,00%",5,"62,50%",58,498,324,12,8,4,8,3,64,13
584,299,0,21,97,182,49,298,23,9,"39,13%",10,"43,48%",204,1202,557,24,18,16,25,20,249,87
585,166,9,80,77,9,3,166,2,1,"50,00%",1,"50,00%",86,265,104,2,1,1,1,0,132,1
586,117,3,43,65,10,0,117,3,1,"33,33%",1,"33,33%",106,492,231,2,4,0,1,2,97,3
587,178,1,1,69,109,18,178,5,1,"20,00%",4,"80,00%",138,589,139,1,4,1,9,10,144,35
588,21,3,11,7,3,2,21,0,0,"0,00%",0,"0,00%",10,48,21,0,0,0,0,0,15,2
589,3,0,0,3,0,0,3,3,0,"0,00%",2,"66,67%",2,28,0,0,0,0,0,0,2,0
590,218,10,50,132,38,0,218,3,2,"66,67%",0,"0,00%",149,717,395,3,1,0,1,1,155,8
591,212,27,102,97,13,1,212,1,0,"0,00%",1,"100,00%",127,760,472,2,2,0,0,1,151,3
592,329,2,18,142,174,27,329,20,10,"50,00%",9,"45,00%",237,1500,802,29,17,11,16,10,261,48
593,182,8,58,76,50,2,182,5,3,"60,00%",2,"40,00%",100,423,222,2,7,0,7,4,114,17
594,373,24,132,176,72,7,373,9,2,"22,22%",5,"55,56%",193,976,589,14,10,2,8,1,186,22
595,14,1,2,12,0,0,14,0,0,"0,00%",0,"0,00%",8,44,12,0,0,0,0,0,11,0
596,32,0,3,11,18,3,32,1,1,"100,00%",0,"0,00%",24,124,36,1,0,1,2,2,23,4
597,225,10,83,129,14,2,225,0,0,"0,00%",0,"0,00%",162,654,358,0,4,0,0,2,162,2
598,146,3,11,69,68,23,145,6,4,"66,67%",1,"16,67%",72,378,152,6,3,2,17,6,105,29
599,7,0,0,3,4,0,7,0,0,"0,00%",0,"0,00%",2,2,1,0,0,0,0,0,4,0
600,405,15,88,280,45,1,405,7,5,"71,43%",2,"28,57%",295,1581,850,7,7,0,9,1,288,2
601,437,53,221,201,20,5,437,6,5,"83,33%",0,"0,00%",313,1817,1245,13,10,0,2,1,314,2
602,238,46,127,104,9,4,238,3,3,"100,00%",0,"0,00%",147,769,339,1,1,0,1,2,131,0
603,330,19,69,189,76,6,330,6,1,"16,67%",4,"66,67%",195,856,392,5,5,2,6,3,170,8
604,143,4,14,58,72,15,143,10,3,"30,00%",6,"60,00%",87,426,134,3,3,1,18,6,98,27
605,74,9,28,28,19,3,74,3,1,"33,33%",0,"0,00%",31,122,49,1,1,0,2,1,34,9
606,84,1,22,34,29,5,84,6,3,"50,00%",2,"33,33%",45,435,355,12,7,2,5,2,47,11
607,39,2,10,16,13,5,39,1,0,"0,00%",1,"100,00%",24,177,67,3,2,1,1,3,23,3
608,221,2,15,78,128,28,221,9,6,"66,67%",1,"11,11%",144,776,340,11,6,5,12,6,161,46
609,664,94,353,309,9,7,664,2,2,"100,00%",0,"0,00%",461,2388,1233,4,3,0,2,3,468,1
610,729,7,84,286,366,44,729,46,26,"56,52%",14,"30,43%",475,3068,1644,43,37,13,11,19,557,92
611,433,0,19,165,260,50,433,43,21,"48,84%",18,"41,86%",311,2533,1152,33,38,16,28,15,352,82
612,503,75,261,227,16,9,503,1,1,"100,00%",0,"0,00%",340,1212,605,0,0,0,1,0,325,3
613,407,9,109,200,100,21,407,11,6,"54,55%",3,"27,27%",253,1208,648,14,9,2,7,3,257,31
614,106,2,8,51,49,29,106,4,1,"25,00%",2,"50,00%",73,239,65,2,0,2,5,3,91,26
615,8,0,1,5,2,2,8,0,0,"0,00%",0,"0,00%",4,14,0,0,0,0,2,0,4,1
616,143,6,28,90,25,1,143,2,1,"50,00%",0,"0,00%",68,377,220,6,2,0,2,0,97,5
617,225,34,109,109,8,2,225,0,0,"0,00%",0,"0,00%",154,886,616,2,4,0,1,0,167,0
618,135,3,15,37,83,14,135,10,3,"30,00%",5,"50,00%",81,745,271,11,6,4,5,2,85,30
619,405,49,197,183,25,3,405,0,0,"0,00%",0,"0,00%",220,818,390,4,2,0,1,1,275,3
620,74,10,40,33,1,0,74,0,0,"0,00%",0,"0,00%",31,166,68,0,0,0,1,0,26,0
621,76,4,20,37,21,1,76,0,0,"0,00%",0,"0,00%",36,184,77,1,2,0,2,4,38,0
622,84,0,21,40,23,3,84,3,2,"66,67%",1,"33,33%",72,399,166,1,3,1,1,2,67,5
623,169,34,74,95,4,2,169,2,2,"100,00%",0,"0,00%",110,639,324,3,0,1,2,1,97,0
624,168,143,168,0,0,0,168,0,0,"0,00%",0,"0,00%",116,446,253,0,0,0,1,0,107,0
625,28,1,1,12,16,4,28,6,3,"50,00%",1,"16,67%",17,162,81,3,2,1,1,0,18,4
626,509,13,115,337,64,6,509,2,0,"0,00%",1,"50,00%",304,1512,740,12,11,1,5,4,338,6
627,276,8,51,115,117,14,276,12,7,"58,33%",5,"41,67%",189,864,353,7,5,2,12,7,177,39
628,81,6,24,22,37,6,81,10,6,"60,00%",3,"30,00%",64,554,347,7,5,2,6,6,55,13
629,4,3,4,0,0,0,4,0,0,"0,00%",0,"0,00%",1,0,0,0,0,0,0,0,0,0
630,142,24,89,49,5,1,142,1,0,"0,00%",0,"0,00%",90,491,344,3,1,0,1,0,97,1
631,123,6,39,59,26,1,123,4,3,"75,00%",1,"25,00%",51,266,105,1,3,0,2,0,81,5
632,158,135,158,0,0,0,158,0,0,"0,00%",0,"0,00%",73,374,194,0,0,0,0,0,54,0
633,346,18,114,183,53,2,346,4,3,"75,00%",1,"25,00%",217,1186,607,10,6,1,1,3,238,8
634,63,7,30,32,1,1,63,0,0,"0,00%",0,"0,00%",39,173,111,0,0,0,1,0,46,0
635,6,0,0,3,3,2,6,0,0,"0,00%",0,"0,00%",4,8,3,0,0,0,0,1,6,2
636,338,35,134,183,22,0,338,2,0,"0,00%",2,"100,00%",179,679,288,2,1,0,6,0,214,8
637,348,1,23,142,184,34,348,22,4,"18,18%",15,"68,18%",270,1247,568,23,23,11,21,14,282,69
638,473,30,110,261,107,7,473,13,10,"76,92%",1,"7,69%",293,1837,898,12,17,0,7,3,364,15
639,266,5,29,146,94,8,266,14,6,"42,86%",6,"42,86%",188,1031,434,8,12,4,14,9,170,16
640,361,11,116,211,38,3,361,13,6,"46,15%",6,"46,15%",261,1454,648,13,4,2,7,5,292,10
641,571,73,276,272,27,3,571,5,2,"40,00%",3,"60,00%",396,2038,1060,9,7,0,2,3,421,5
642,259,19,104,122,37,3,259,4,1,"25,00%",2,"50,00%",143,710,381,8,7,1,4,1,143,6
643,127,1,15,42,70,5,127,3,1,"33,33%",2,"66,67%",87,429,174,4,1,3,2,2,105,25
644,363,71,235,127,4,2,363,5,3,"60,00%",2,"40,00%",235,1212,566,0,0,0,0,1,224,0
645,40,3,14,13,13,4,40,4,1,"25,00%",3,"75,00%",22,151,72,4,1,1,3,0,21,5
646,361,44,169,192,6,3,361,6,4,"66,67%",2,"33,33%",263,1644,881,1,1,0,6,3,256,0
647,113,96,112,1,0,0,113,0,0,"0,00%",0,"0,00%",66,303,154,0,0,0,0,0,55,0
648,386,8,42,178,170,10,386,16,5,"31,25%",9,"56,25%",263,1359,629,15,18,5,5,9,276,47
649,81,0,16,34,31,4,81,2,0,"0,00%",1,"50,00%",39,198,100,4,1,2,0,0,55,4
650,248,5,31,90,129,19,248,8,5,"62,50%",2,"25,00%",160,838,427,16,6,4,11,5,180,43
651,400,43,173,221,6,3,400,0,0,"0,00%",0,"0,00%",215,1328,750,0,2,0,2,2,278,0
652,20,1,6,12,2,1,20,0,0,"0,00%",0,"0,00%",13,85,49,2,0,0,0,0,12,0
653,320,33,137,171,16,2,320,1,0,"0,00%",1,"100,00%",192,1303,837,4,4,0,1,1,226,0
654,262,12,38,109,115,48,260,11,3,"27,27%",6,"54,55%",141,611,277,14,5,9,15,3,172,31
655,189,164,189,0,0,0,189,0,0,"0,00%",0,"0,00%",110,625,261,0,0,0,0,0,91,0
656,447,12,66,181,205,15,447,48,15,"31,25%",30,"62,50%",331,2110,863,24,14,6,22,16,307,67
657,341,19,107,146,93,7,340,10,3,"30,00%",6,"60,00%",160,710,334,7,3,1,5,4,171,10
658,451,24,132,219,103,10,451,5,2,"40,00%",2,"40,00%",281,1175,559,6,5,0,6,9,300,24
659,291,9,56,156,79,10,291,10,4,"40,00%",5,"50,00%",193,774,332,10,2,3,10,6,217,20
660,162,21,85,54,24,3,162,12,5,"41,67%",6,"50,00%",79,534,181,5,4,1,6,5,78,6
661,48,1,5,19,26,8,48,8,1,"12,50%",6,"75,00%",33,216,85,4,1,4,3,3,31,8
662,426,9,80,286,64,8,426,4,3,"75,00%",1,"25,00%",293,1637,723,10,5,0,7,4,330,4
663,70,0,11,22,37,9,70,2,0,"0,00%",2,"100,00%",48,374,202,8,3,4,3,3,51,15
664,291,13,76,110,108,5,291,10,3,"30,00%",3,"30,00%",126,530,203,10,6,2,7,9,173,34
665,172,135,169,3,0,0,172,0,0,"0,00%",0,"0,00%",102,428,289,0,0,0,0,0,98,0
666,52,8,33,17,2,1,52,0,0,"0,00%",0,"0,00%",37,133,30,0,0,0,1,0,31,0
667,218,33,112,102,7,4,218,2,1,"50,00%",1,"50,00%",116,473,218,1,1,0,2,0,141,0
668,90,17,63,23,5,3,90,1,0,"0,00%",1,"100,00%",48,270,120,1,0,0,0,0,55,1
669,103,7,29,54,24,7,103,12,5,"41,67%",6,"50,00%",48,303,110,3,2,2,9,5,50,6
670,474,33,209,242,27,3,474,6,3,"50,00%",2,"33,33%",318,1376,765,10,12,1,7,5,369,1
671,593,64,303,279,15,2,593,2,0,"0,00%",2,"100,00%",331,1642,886,10,3,1,2,3,390,0
672,616,19,127,337,157,15,616,16,6,"37,50%",7,"43,75%",286,1651,827,18,12,0,10,9,372,30
673,88,0,7,56,25,1,88,2,0,"0,00%",1,"50,00%",65,257,106,3,3,1,1,1,76,4
674,100,1,4,54,43,13,100,9,4,"44,44%",5,"55,56%",84,347,150,3,3,2,3,2,85,17
675,11,1,2,5,4,1,11,2,0,"0,00%",2,"100,00%",4,32,0,0,1,0,1,0,6,0
676,249,228,249,0,0,0,249,0,0,"0,00%",0,"0,00%",137,624,359,0,0,0,0,0,103,0
677,172,5,24,95,56,10,172,15,5,"33,33%",8,"53,33%",109,685,282,7,9,1,9,8,122,22
678,285,265,285,0,0,0,285,0,0,"0,00%",0,"0,00%",177,604,362,0,0,0,0,0,157,0
679,285,11,65,96,125,15,285,12,4,"33,33%",7,"58,33%",126,610,264,10,5,5,8,2,139,28
680,91,1,7,44,40,0,91,1,0,"0,00%",1,"100,00%",65,269,93,2,2,0,0,1,66,6
681,408,44,214,170,27,3,408,3,2,"66,67%",1,"33,33%",227,1116,441,3,2,0,5,1,239,0
682,55,48,55,0,0,0,55,0,0,"0,00%",0,"0,00%",24,150,92,0,0,0,0,0,10,0
683,318,10,93,203,26,0,318,15,10,"66,67%",3,"20,00%",178,812,333,3,3,0,8,15,186,4
684,228,16,66,96,68,4,228,3,0,"0,00%",1,"33,33%",101,504,214,4,5,1,4,4,105,12
685,119,108,118,1,0,0,119,0,0,"0,00%",0,"0,00%",73,303,96,0,0,0,0,0,72,0
686,118,0,6,47,65,5,118,3,2,"66,67%",1,"33,33%",90,562,194,5,4,2,3,2,86,20
687,672,75,332,330,12,1,672,5,4,"80,00%",0,"0,00%",511,2724,1563,9,4,0,3,1,524,0
688,394,22,99,219,80,8,393,8,5,"62,50%",2,"25,00%",243,961,473,5,4,1,10,6,234,9
689,21,7,14,6,1,0,21,0,0,"0,00%",0,"0,00%",9,53,38,0,0,0,0,0,15,0
690,711,17,104,349,268,27,711,20,11,"55,00%",7,"35,00%",427,2893,1734,43,31,6,19,7,537,56
691,557,50,248,280,31,22,557,1,1,"100,00%",0,"0,00%",296,1437,730,5,4,0,2,0,394,1
692,511,14,107,310,98,6,511,8,1,"12,50%",6,"75,00%",369,1866,591,8,6,1,5,4,407,28
693,203,40,128,70,5,1,203,1,1,"100,00%",0,"0,00%",69,418,160,1,1,1,1,0,109,0
694,180,6,34,77,70,5,180,5,2,"40,00%",3,"60,00%",98,446,269,8,5,1,4,0,126,19
695,452,10,56,317,84,3,452,4,1,"25,00%",3,"75,00%",352,1745,857,8,10,0,3,3,326,16
696,6,2,5,1,0,0,6,0,0,"0,00%",0,"0,00%",4,23,1,0,0,0,0,0,2,0
697,26,0,3,11,12,2,26,1,0,"0,00%",1,"100,00%",18,113,85,3,2,0,4,0,16,6
698,749,21,172,452,132,5,749,18,11,"61,11%",5,"27,78%",618,3206,1549,12,23,0,4,9,584,12
699,496,10,107,287,109,10,496,14,8,"57,14%",3,"21,43%",417,2206,941,11,22,1,16,10,385,16
700,285,246,285,0,0,0,285,0,0,"0,00%",0,"0,00%",175,818,475,0,0,0,1,0,132,0
701,131,6,8,64,61,22,131,2,0,"0,00%",2,"100,00%",72,345,145,6,4,1,8,8,92,27
702,195,7,37,93,72,9,195,13,5,"38,46%",7,"53,85%",96,601,319,10,11,1,10,12,100,16
703,122,37,90,32,1,1,122,0,0,"0,00%",0,"0,00%",50,262,91,0,0,0,2,2,60,0
704,219,13,68,103,54,4,219,5,4,"80,00%",1,"20,00%",115,660,392,9,8,2,2,0,137,11
705,27,1,10,10,7,1,27,2,1,"50,00%",1,"50,00%",18,70,25,1,1,0,1,0,20,3
706,68,9,35,31,2,0,68,0,0,"0,00%",0,"0,00%",49,299,200,0,1,0,0,0,50,0
707,120,3,37,54,31,1,120,2,2,"100,00%",0,"0,00%",63,480,322,9,6,0,0,0,67,3
708,275,3,25,123,128,27,275,11,4,"36,36%",5,"45,45%",215,1381,706,24,19,10,10,12,235,56
709,57,3,15,22,20,5,57,0,0,"0,00%",0,"0,00%",43,143,80,2,2,1,0,0,42,7
710,38,0,7,12,19,1,38,0,0,"0,00%",0,"0,00%",23,85,38,0,0,0,1,0,31,6
711,386,24,139,219,28,5,386,2,1,"50,00%",1,"50,00%",270,1226,423,2,4,0,2,2,281,2
712,92,8,24,37,32,5,92,0,0,"0,00%",0,"0,00%",32,193,37,1,2,0,0,1,29,9
713,124,7,29,41,56,8,124,4,2,"50,00%",2,"50,00%",73,344,175,3,2,1,1,1,80,13
714,49,4,12,23,16,1,49,2,1,"50,00%",0,"0,00%",32,129,34,0,1,0,5,1,35,3
715,51,0,6,21,25,4,51,4,2,"50,00%",2,"50,00%",35,162,64,2,3,2,4,4,46,6
716,60,6,19,22,19,2,60,2,1,"50,00%",1,"50,00%",35,181,90,0,4,0,2,1,31,4
717,45,0,7,19,21,1,45,3,2,"66,67%",0,"0,00%",40,263,131,2,2,1,3,2,38,7
718,52,2,12,32,9,1,52,1,0,"0,00%",1,"100,00%",39,202,106,4,2,0,1,1,39,2
719,475,14,101,299,87,16,475,25,14,"56,00%",7,"28,00%",346,1537,709,15,15,5,12,11,356,17
720,11,0,3,4,4,0,11,2,1,"50,00%",1,"50,00%",5,119,83,3,2,0,0,0,6,2
721,96,6,41,50,6,0,96,5,3,"60,00%",0,"0,00%",26,95,25,0,0,0,3,0,48,1
722,49,1,6,22,22,2,49,3,0,"0,00%",3,"100,00%",33,214,114,5,4,1,3,1,35,9
723,427,5,46,214,171,17,424,15,8,"53,33%",5,"33,33%",292,1162,513,12,15,2,5,3,324,24
724,118,3,9,32,79,12,118,10,4,"40,00%",5,"50,00%",80,552,201,11,6,3,1,2,80,26
725,160,5,48,76,37,6,160,10,2,"20,00%",7,"70,00%",109,705,325,8,8,2,13,8,112,12
726,47,4,15,29,3,0,47,1,0,"0,00%",1,"100,00%",27,143,65,3,0,0,1,0,30,2
727,0,0,0,0,0,0,0,0,0,"0,00%",0,"0,00%",0,0,0,0,0,0,0,0,0,0
