ID,Pases_completados,Pases_intentados,Porcent_pases_completados,Distancia_total_pases,Distancia_progresiva_pase,Pases_cortos_completados,Pases_cortos_intentados,Porcent_pases_cortos,Pases_vivos,Pases_muertos,Pases_faltas,Pases_largos,Cambios_de_juego,Pases_cruzados,Lanzamientos_realizados,Saques_esquina,Saques_esquina_dentro,Saques_esquina_fuera,Saques_esquina_recto,Pases_fuera_juego,Pases_bloqueados
623,114,132,"86,36%",2292,988,34,38,"89,47%",126,6,6,0,0,0,0,0,0,0,0,0,0
624,130,152,"85,53%",3006,1774,27,27,"100,00%",126,26,8,0,0,0,0,0,0,0,0,0,2
625,17,18,"94,44%",291,42,8,9,"88,89%",16,2,1,0,0,0,1,0,0,0,0,0,0
626,372,440,"84,55%",6227,1940,178,199,"89,45%",426,14,14,2,2,1,0,0,0,0,0,0,9
627,166,221,"75,11%",2510,704,92,109,"84,40%",217,2,1,0,2,7,0,1,0,0,0,2,7
628,45,56,"80,36%",765,217,24,27,"88,89%",53,3,0,0,1,4,3,0,0,0,0,0,2
629,0,0,"0,00%",0,0,0,0,"0,00%",0,0,0,0,0,0,0,0,0,0,0,0,0
630,103,117,"88,03%",1900,703,37,38,"97,37%",113,4,4,0,0,0,0,0,0,0,0,0,1
631,76,100,"76,00%",1205,294,38,46,"82,61%",99,1,1,0,2,0,0,0,0,0,0,0,1
632,92,141,"65,25%",3540,3089,8,8,"100,00%",89,52,12,0,0,0,0,0,0,0,0,0,0
633,283,309,"91,59%",4642,1449,129,137,"94,16%",279,30,1,0,1,2,29,0,0,0,0,0,6
634,52,54,"96,30%",971,354,25,26,"96,15%",53,1,1,0,0,0,0,0,0,0,0,0,0
635,3,6,"50,00%",20,4,2,2,"100,00%",6,0,0,0,0,0,0,0,0,0,0,0,0
636,240,277,"86,64%",3836,1171,134,138,"97,10%",264,13,10,0,5,0,3,0,0,0,0,0,6
637,210,269,"78,07%",2673,723,139,157,"88,54%",256,11,2,2,0,15,5,4,4,0,0,2,12
638,387,430,"90,00%",6530,1439,185,194,"95,36%",408,20,1,0,3,3,19,0,0,0,0,2,5
639,151,199,"75,88%",2174,612,73,86,"84,88%",182,15,1,4,1,3,0,3,0,1,0,2,7
640,277,315,"87,94%",4431,1194,151,164,"92,07%",305,9,5,6,0,1,1,0,0,0,0,1,2
641,461,512,"90,04%",8854,2553,186,196,"94,90%",491,21,18,1,15,0,3,0,0,0,0,0,3
642,171,208,"82,21%",3026,1331,79,88,"89,77%",184,24,2,0,1,4,22,0,0,0,0,0,3
643,82,100,"82,00%",1257,318,48,55,"87,27%",91,7,1,1,2,4,3,1,0,0,0,2,2
644,256,295,"86,78%",5069,1649,73,77,"94,81%",286,9,9,0,1,0,0,0,0,0,0,0,3
645,15,20,"75,00%",202,54,8,9,"88,89%",18,2,0,0,0,1,1,0,0,0,0,0,0
646,271,308,"87,99%",5119,1728,101,107,"94,39%",301,7,7,0,1,1,0,0,0,0,0,0,1
647,89,103,"86,41%",2238,1422,11,11,"100,00%",80,23,4,0,1,0,0,0,0,0,0,0,0
648,268,333,"80,48%",4228,1190,143,161,"88,82%",292,38,11,0,4,29,10,17,6,10,0,3,5
649,52,73,"71,23%",821,411,28,34,"82,35%",53,18,4,0,0,9,12,2,1,0,1,2,2
650,161,208,"77,40%",2576,769,75,92,"81,52%",197,10,1,3,0,10,4,5,0,3,0,1,5
651,317,350,"90,57%",5983,1881,114,121,"94,21%",342,6,6,2,1,0,0,0,0,0,0,2,1
652,16,18,"88,89%",244,70,6,7,"85,71%",16,2,1,0,0,0,1,0,0,0,0,0,0
653,257,282,"91,13%",5018,2031,95,104,"91,35%",268,13,8,1,2,0,4,0,0,0,0,1,0
654,129,177,"72,88%",1624,449,91,110,"82,73%",171,3,1,3,0,1,0,0,0,0,0,3,6
655,136,173,"78,61%",4027,2722,19,20,"95,00%",127,46,13,0,1,0,0,0,0,0,0,0,0
656,257,330,"77,88%",4037,1101,126,141,"89,36%",280,49,8,0,3,33,41,0,0,0,0,1,8
657,196,289,"67,82%",3275,1193,94,116,"81,03%",206,78,13,1,1,22,57,8,0,8,0,5,5
658,338,399,"84,71%",5431,2023,155,172,"90,12%",339,59,6,0,0,8,52,1,0,0,0,1,9
659,205,240,"85,42%",2936,942,121,135,"89,63%",228,8,3,1,0,6,4,1,0,0,0,4,2
660,88,113,"77,88%",1422,337,42,48,"87,50%",91,22,0,0,0,2,22,0,0,0,0,0,4
661,15,27,"55,56%",209,81,10,11,"90,91%",27,0,0,0,0,3,0,0,0,0,0,0,3
662,349,375,"93,07%",5648,1720,170,180,"94,44%",369,6,6,2,2,0,0,0,0,0,0,0,3
663,35,46,"76,09%",560,60,18,22,"81,82%",43,3,0,0,0,4,2,0,0,0,0,0,1
664,181,242,"74,79%",2923,838,88,104,"84,62%",186,56,9,0,0,27,38,9,1,8,0,0,5
665,149,162,"91,98%",3810,2529,34,35,"97,14%",125,37,9,0,0,0,0,0,0,0,0,0,0
666,32,43,"74,42%",635,256,7,8,"87,50%",40,3,0,0,0,0,3,0,0,0,0,0,1
667,145,171,"84,80%",3128,974,35,41,"85,37%",166,4,4,0,1,0,0,0,0,0,0,1,2
668,55,71,"77,46%",1242,597,14,15,"93,33%",63,8,6,0,2,0,0,0,0,0,0,0,0
669,40,57,"70,18%",496,86,29,36,"80,56%",56,1,0,0,0,1,1,0,0,0,0,0,3
670,393,420,"93,57%",6541,2200,161,167,"96,41%",406,13,11,0,1,1,1,0,0,0,0,1,0
671,443,515,"86,02%",9183,2899,127,142,"89,44%",491,23,13,1,3,1,2,0,0,0,0,1,4
672,375,514,"72,96%",6903,2219,154,181,"85,08%",435,75,42,4,4,47,5,26,13,10,0,4,14
673,70,78,"89,74%",991,184,43,46,"93,48%",78,0,0,0,0,0,0,0,0,0,0,0,0
674,66,78,"84,62%",863,121,42,46,"91,30%",75,3,1,0,0,1,1,0,0,0,0,0,3
675,5,6,"83,33%",80,22,3,3,"100,00%",5,1,0,0,0,1,0,1,0,1,0,0,0
676,146,227,"64,32%",3666,2491,45,45,"100,00%",164,62,20,0,1,0,0,0,0,0,0,1,0
677,91,120,"75,83%",1248,257,62,75,"82,67%",112,8,3,0,0,5,1,2,0,2,0,0,7
678,200,260,"76,92%",4730,3301,56,56,"100,00%",196,63,9,0,1,0,0,0,0,0,0,1,0
679,170,239,"71,13%",3077,1133,70,84,"83,33%",164,75,7,0,0,44,48,20,5,15,0,0,8
680,67,83,"80,72%",943,174,38,41,"92,68%",72,11,0,0,0,6,2,5,1,3,0,0,1
681,266,333,"79,88%",4935,2006,100,114,"87,72%",318,15,13,0,1,1,2,0,0,0,0,0,4
682,31,50,"62,00%",1282,1109,0,0,"0,00%",26,24,11,0,0,0,0,0,0,0,0,0,0
683,201,238,"84,45%",3424,621,80,95,"84,21%",229,8,6,0,2,1,1,0,0,0,0,1,2
684,123,187,"65,78%",2125,1041,58,72,"80,56%",139,48,3,0,0,11,42,3,3,0,0,0,4
685,102,116,"87,93%",2202,1318,26,26,"100,00%",90,26,5,0,0,0,0,0,0,0,0,0,0
686,80,97,"82,47%",1483,374,41,44,"93,18%",78,18,6,0,4,7,6,6,1,0,1,1,1
687,550,605,"90,91%",11966,4182,135,144,"93,75%",587,17,14,0,8,0,3,0,0,0,0,1,4
688,266,328,"81,10%",4464,1504,138,155,"89,03%",306,20,11,0,2,3,9,0,0,0,0,2,5
689,16,17,"94,12%",317,101,3,3,"100,00%",16,1,0,0,1,0,0,0,0,0,0,0,1
690,501,576,"86,98%",7233,1770,319,342,"93,27%",569,7,5,3,11,20,2,0,0,0,0,0,12
691,439,505,"86,93%",8146,3353,163,182,"89,56%",493,12,11,0,5,0,1,0,0,0,0,0,2
692,378,452,"83,63%",6766,1523,171,196,"87,24%",434,17,15,2,15,2,2,0,0,0,0,1,9
693,133,159,"83,65%",2706,833,34,39,"87,18%",151,8,6,0,3,1,1,0,0,0,0,0,0
694,145,159,"91,19%",2141,430,79,82,"96,34%",141,18,1,0,3,9,17,0,0,0,0,0,0
695,362,411,"88,08%",6654,1914,134,148,"90,54%",383,26,15,0,2,15,3,8,2,5,0,2,2
696,3,4,"75,00%",61,20,0,0,"0,00%",4,0,0,0,0,0,0,0,0,0,0,0,0
697,11,17,"64,71%",142,70,6,7,"85,71%",16,1,0,0,0,2,1,0,0,0,0,0,2
698,639,690,"92,61%",9162,2894,353,369,"95,66%",641,47,44,1,2,1,3,0,0,0,0,2,6
699,398,436,"91,28%",5761,1393,225,241,"93,36%",432,3,2,0,1,2,0,0,0,0,0,1,8
700,196,264,"74,24%",5094,3375,44,44,"100,00%",183,80,16,0,0,0,0,0,0,0,0,1,1
701,65,91,"71,43%",1095,89,27,37,"72,97%",75,14,0,0,0,2,0,0,0,0,0,2,2
702,99,135,"73,33%",1671,409,49,56,"87,50%",106,29,2,0,1,14,2,6,1,4,0,0,2
703,64,77,"83,12%",1156,254,21,22,"95,45%",73,3,1,0,0,0,0,0,0,0,0,1,0
704,152,191,"79,58%",2598,801,74,88,"84,09%",167,24,0,0,0,5,24,0,0,0,0,0,4
705,18,21,"85,71%",245,29,10,10,"100,00%",18,3,0,0,0,1,3,0,0,0,0,0,0
706,55,58,"94,83%",1162,439,13,14,"92,86%",56,2,2,0,0,0,0,0,0,0,0,0,0
707,88,106,"83,02%",1428,473,48,50,"96,00%",89,17,3,0,0,8,11,3,3,0,0,0,2
708,178,230,"77,39%",2322,571,109,129,"84,50%",221,8,1,4,1,3,3,1,0,0,0,1,9
709,42,49,"85,71%",547,212,24,27,"88,89%",48,1,0,0,0,3,1,0,0,0,0,0,0
710,30,35,"85,71%",457,65,19,21,"90,48%",31,4,0,0,0,1,4,0,0,0,0,0,0
711,322,344,"93,60%",5315,1752,152,161,"94,41%",336,8,7,0,1,0,1,0,0,0,0,0,2
712,32,72,"44,44%",551,326,14,25,"56,00%",46,26,0,0,0,9,26,0,0,0,0,0,2
713,73,98,"74,49%",1018,294,47,55,"85,45%",80,18,2,0,0,9,16,0,0,0,0,0,3
714,25,37,"67,57%",297,69,17,21,"80,95%",37,0,0,0,0,2,0,0,0,0,0,0,1
715,29,39,"74,36%",403,65,16,20,"80,00%",36,3,0,0,0,1,0,0,0,0,0,0,1
716,39,50,"78,00%",579,287,26,29,"89,66%",39,11,1,0,0,4,10,0,0,0,0,0,1
717,30,38,"78,95%",358,55,19,21,"90,48%",36,2,1,2,0,2,1,0,0,0,0,0,1
718,42,44,"95,45%",761,144,22,22,"100,00%",43,1,1,0,1,0,0,0,0,0,0,0,0
719,344,405,"84,94%",5060,1271,187,206,"90,78%",393,9,8,5,0,1,1,0,0,0,0,3,8
720,6,8,"75,00%",116,32,2,2,"100,00%",8,0,0,0,0,3,0,0,0,0,0,0,1
721,65,71,"91,55%",999,311,37,38,"97,37%",68,2,2,0,0,0,0,0,0,0,0,1,0
722,25,34,"73,53%",283,65,16,17,"94,12%",33,0,0,0,0,0,0,0,0,0,0,1,1
723,302,366,"82,51%",4351,1050,174,187,"93,05%",322,44,11,5,0,33,0,27,9,11,0,0,7
724,59,88,"67,05%",939,246,32,38,"84,21%",81,6,1,0,1,18,1,4,2,1,0,1,3
725,81,104,"77,88%",1294,348,42,54,"77,78%",98,6,0,2,0,0,2,0,0,0,0,0,2
726,33,36,"91,67%",453,95,20,22,"90,91%",36,0,0,0,0,0,0,0,0,0,0,0,0
727,0,0,"0,00%",0,0,0,0,"0,00%",0,0,0,0,0,0,0,0,,,,,
