ID,Pases_completados,Pases_intentados,Porcent_pases_completados,Distancia_total_pases,Distancia_progresiva_pase,Pases_cortos_completados,Pases_cortos_intentados,Porcent_pases_cortos,Pases_vivos,Pases_muertos,Pases_faltas,Pases_largos,Cambios_de_juego,Pases_cruzados,Lanzamientos_realizados,Saques_esquina,Saques_esquina_dentro,Saques_esquina_fuera,Saques_esquina_recto,Pases_fuera_juego,Pases_bloqueados
471,36,48,"75,00%",483,158,22,30,"73,33%",48,0,0,0,0,2,0,0,0,0,0,0,4
472,131,164,"79,88%",1920,509,76,88,"86,36%",158,6,2,0,1,3,1,0,0,0,0,0,2
473,30,45,"66,67%",376,56,13,19,"68,42%",44,1,0,0,0,0,0,0,0,0,0,0,0
474,191,219,"87,21%",2809,824,110,118,"93,22%",214,3,0,1,1,1,0,1,1,0,0,2,7
475,166,204,"81,37%",2541,709,104,113,"92,04%",184,19,2,0,0,5,17,0,0,0,0,1,3
476,346,412,"83,98%",5415,2128,170,187,"90,91%",400,12,9,0,1,1,3,0,0,0,0,0,5
477,286,314,"91,08%",4187,1471,160,173,"92,49%",278,36,4,0,1,0,32,0,0,0,0,0,5
478,85,112,"75,89%",1357,375,43,48,"89,58%",91,20,1,0,0,10,19,0,0,0,0,1,5
479,14,22,"63,64%",212,56,8,12,"66,67%",19,3,0,0,0,1,3,0,0,0,0,0,0
480,231,266,"86,84%",3248,864,128,136,"94,12%",260,5,4,3,3,1,0,0,0,0,0,1,4
481,159,218,"72,94%",2308,600,89,105,"84,76%",201,17,2,2,2,21,2,13,6,0,0,0,11
482,34,36,"94,44%",674,258,8,8,"100,00%",36,0,0,0,0,0,0,0,0,0,0,0,0
483,98,121,"80,99%",2661,1808,11,11,"100,00%",94,26,4,0,0,0,0,0,0,0,0,1,0
484,37,42,"88,10%",555,101,19,22,"86,36%",41,1,1,0,0,1,0,0,0,0,0,0,1
485,320,392,"81,63%",4477,1506,181,206,"87,86%",350,38,17,4,2,19,3,15,8,3,0,4,5
486,86,95,"90,53%",1570,587,32,33,"96,97%",95,0,0,1,1,0,0,0,0,0,0,0,0
487,123,187,"65,78%",2234,648,56,77,"72,73%",169,17,7,1,0,20,1,9,7,2,0,1,10
488,114,143,"79,72%",1609,418,67,78,"85,90%",126,15,0,0,0,6,15,0,0,0,0,2,2
489,211,233,"90,56%",2820,709,137,147,"93,20%",227,3,1,2,0,4,0,1,0,0,0,3,2
490,3,4,"75,00%",57,2,2,2,"100,00%",4,0,0,0,0,0,0,0,0,0,0,0,1
491,62,98,"63,27%",797,115,33,45,"73,33%",96,2,0,1,0,11,1,0,0,0,0,0,6
492,15,18,"83,33%",178,29,10,12,"83,33%",18,0,0,0,0,0,0,0,0,0,0,0,0
493,224,274,"81,75%",3784,995,113,132,"85,61%",254,20,5,2,1,11,2,7,2,2,0,0,4
494,79,113,"69,91%",2200,1716,16,16,"100,00%",74,38,4,0,0,0,0,0,0,0,0,1,0
495,11,13,"84,62%",169,5,6,6,"100,00%",12,0,0,0,0,0,0,0,0,0,0,1,0
496,4,6,"66,67%",89,14,1,1,"100,00%",6,0,0,0,0,0,0,0,0,0,0,0,0
497,271,337,"80,42%",5182,1576,104,121,"85,95%",280,54,6,0,5,3,48,0,0,0,0,3,9
498,50,73,"68,49%",737,143,27,35,"77,14%",72,0,0,0,1,4,0,0,0,0,0,1,2
499,329,395,"83,29%",4509,1534,199,218,"91,28%",328,67,11,0,3,7,56,0,0,0,0,0,10
500,18,32,"56,25%",386,122,7,12,"58,33%",29,3,1,1,0,3,0,2,0,1,0,0,1
501,407,525,"77,52%",11545,8251,84,84,"100,00%",405,120,32,0,1,0,0,0,0,0,0,0,0
502,232,274,"84,67%",4487,975,72,84,"85,71%",265,8,8,0,5,0,0,0,0,0,0,1,5
503,466,525,"88,76%",9417,2946,132,144,"91,67%",505,18,18,0,3,3,0,0,0,0,0,2,6
504,33,47,"70,21%",456,110,19,24,"79,17%",45,2,1,1,0,2,0,0,0,0,0,0,2
505,121,172,"70,35%",1736,531,67,79,"84,81%",151,21,3,2,1,16,3,13,3,3,0,0,9
506,50,52,"96,15%",1063,779,19,19,"100,00%",40,12,2,0,0,0,0,0,0,0,0,0,0
507,34,51,"66,67%",488,109,15,25,"60,00%",49,2,0,0,0,3,0,0,0,0,0,0,1
508,482,539,"89,42%",9577,3540,151,165,"91,52%",528,10,8,0,13,0,2,0,0,0,0,1,4
509,200,263,"76,05%",3372,1400,110,124,"88,71%",215,47,20,2,2,14,10,11,4,4,0,1,11
510,9,11,"81,82%",156,21,3,3,"100,00%",10,1,0,0,0,0,1,0,0,0,0,0,1
511,249,291,"85,57%",3579,972,131,147,"89,12%",281,10,10,1,4,1,0,0,0,0,0,0,4
512,61,79,"77,22%",1020,317,31,36,"86,11%",76,2,1,0,1,4,0,1,0,1,0,1,0
513,54,63,"85,71%",912,88,27,30,"90,00%",62,1,0,0,0,4,0,1,0,0,0,0,3
514,2,6,"33,33%",21,10,2,4,"50,00%",6,0,0,0,0,0,0,0,0,0,0,0,1
515,214,240,"89,17%",3999,1574,78,84,"92,86%",212,28,20,0,1,10,3,5,3,1,0,0,3
516,57,69,"82,61%",990,220,22,25,"88,00%",60,9,0,0,1,2,9,0,0,0,0,0,0
517,187,283,"66,08%",4479,3163,41,41,"100,00%",234,47,14,0,1,0,0,0,0,0,0,2,1
518,61,81,"75,31%",1085,210,31,40,"77,50%",76,5,0,0,1,0,0,0,0,0,0,0,1
519,13,17,"76,47%",133,47,10,11,"90,91%",16,1,0,0,0,1,0,1,0,0,0,0,0
520,520,576,"90,28%",8935,3418,227,242,"93,80%",530,45,15,2,4,6,30,0,0,0,0,1,2
521,153,219,"69,86%",2598,1189,74,90,"82,22%",211,8,8,0,3,1,0,0,0,0,0,0,6
522,46,58,"79,31%",674,189,27,30,"90,00%",55,2,2,0,1,5,0,0,0,0,0,1,2
523,253,287,"88,15%",4530,1008,116,127,"91,34%",279,8,1,3,6,3,2,0,0,0,0,0,2
524,78,118,"66,10%",1225,512,44,46,"95,65%",92,21,2,0,2,15,16,3,3,0,0,5,5
525,37,39,"94,87%",731,487,10,10,"100,00%",29,10,2,0,0,0,0,0,0,0,0,0,0
526,166,202,"82,18%",3272,1114,60,66,"90,91%",189,13,12,0,1,0,1,0,0,0,0,0,2
527,251,326,"76,99%",3982,1477,135,168,"80,36%",277,49,5,2,1,14,42,2,0,1,0,0,9
528,317,339,"93,51%",5238,1600,151,159,"94,97%",309,30,6,1,2,0,15,0,0,0,0,0,2
529,260,304,"85,53%",4370,1807,117,129,"90,70%",291,13,13,0,0,1,0,0,0,0,0,0,1
530,46,55,"83,64%",1142,813,7,7,"100,00%",45,10,1,0,0,0,0,0,0,0,0,0,0
531,189,284,"66,55%",3696,1112,70,91,"76,92%",221,62,6,0,4,54,41,15,11,3,0,1,7
532,121,139,"87,05%",2499,1377,41,46,"89,13%",128,11,4,0,1,0,3,0,0,0,0,0,0
533,131,197,"66,50%",2342,425,65,92,"70,65%",189,8,1,2,8,1,0,0,0,0,0,0,6
534,31,44,"70,45%",449,68,19,21,"90,48%",43,0,0,1,0,4,0,0,0,0,0,1,4
535,44,46,"95,65%",932,224,17,17,"100,00%",46,0,0,0,0,0,0,0,0,0,0,0,0
536,56,78,"71,79%",593,53,38,45,"84,44%",74,4,0,0,0,2,1,0,0,0,0,0,3
