ID,Jugador,Pais,Equipo,Posicion,Edad,Nacimiento,Partidos_jugados,Partidos_titular,Minutos_totales,90s,Tarjetas_amarillas,Tarjetas_rojas,Segundas_tarjetas_amarillas,Faltas_comprometidas,Faltas_pitadas,Fuera_de_juego
700,Odisseas Vlachodimos,PT,Benfica ,GK,28,1994,10,10,900,"10,00",0,0,0,0,0,0
701,Dušan Vlahović,IT,Juventus ,FW,22,2000,5,5,411,"4,57",0,0,0,4,4,4
702,Adam Vlkanova,CZ,Viktoria Plzeň,MF,27,1994,6,6,458,"5,09",0,0,0,6,9,1
703,Stefan de Vrij,IT,Inter ,DF,30,1992,7,3,299,"3,32",1,0,0,4,0,0
704,Kyle Walker,ENG,Manchester City,"DF,FW",32,1990,5,3,282,"3,13",0,0,0,2,1,1
705,Paul Wanner,DE,Bayern Munich,"DF,FW",16,2005,2,0,36,"0,40",0,0,0,1,0,0
706,Stephen Welsh,SCT,Celtic ,DF,22,2000,1,1,90,"1,00",0,0,0,1,0,0
707,Wendell,PT,Porto ,DF,29,1993,6,1,143,"1,59",0,0,0,2,4,0
708,Timo Werner,DE,RB Leipzig,FW,26,1996,8,7,500,"5,56",1,0,0,2,2,5
709,Owen Wijndal,NL,Ajax ,DF,22,1999,2,1,76,"0,84",0,0,0,2,0,0
710,Josh Wilson-Esbrand,ENG,Manchester City,DF,19,2002,2,0,46,"0,51",0,0,0,0,1,0
711,Axel Witsel,ES,Atlético Madrid,"DF,MF",33,1989,6,5,462,"5,13",0,0,0,2,3,0
712,Maximilian Wöber,AT,RB Salzburg,DF,24,1998,3,2,165,"1,83",0,0,0,3,0,0
713,Marius Wolf,DE,Dortmund ,DF,27,1995,4,2,176,"1,96",1,0,0,4,1,0
714,Scott Wright,SCT,Rangers ,"FW,MF",24,1997,4,2,136,"1,51",0,0,0,2,1,3
715,Roman Yaremchuk,BE,Club Brugge,FW,26,1995,4,1,112,"1,24",1,0,0,1,0,0
716,Rıdvan Yılmaz,SCT,Rangers ,DF,21,2001,1,1,90,"1,00",0,0,0,0,0,0
717,Warren Zaire-Emery,FR,Paris S-G,MF,16,2006,3,1,83,"0,92",0,0,0,0,2,0
718,Denis Zakaria,ENG,Chelsea ,MF,25,1996,2,1,74,"0,82",0,0,0,1,3,0
719,Andre-Frank Zambo Anguissa,IT,Napoli ,MF,26,1995,8,8,650,"7,22",2,1,1,17,16,0
720,Alessandro Zanoli,IT,Napoli ,DF,21,2000,2,0,12,"0,13",0,0,0,0,0,0
721,Zeca,DK,FC Copenhagen,MF,33,1988,2,2,161,"1,79",0,0,0,4,0,0
722,Alessio Zerbin,IT,Napoli ,FW,23,1999,3,0,56,"0,62",0,0,0,0,0,0
723,Piotr Zieliński,IT,Napoli ,MF,28,1994,10,8,619,"6,88",1,0,0,3,12,0
724,Hakim Ziyech,ENG,Chelsea ,"FW,MF",29,1993,4,1,148,"1,64",1,0,0,3,3,1
725,Oleksandr Zubkov,UA,Shakhtar ,"FW,MF",25,1996,5,5,365,"4,06",1,0,0,4,7,0
726,Neven Đurasek,UA,Shakhtar ,MF,23,1998,5,0,91,"1,01",1,0,0,1,0,0
727,Jota,SCT,Celtic ,FW,23,1999,4,3,285,"3,17",0,0,0,3,2,2
