ID,Jugador,Pais,Equipo,Posicion,Edad,Nacimiento,Partidos_jugados,Partidos_titular,Minutos_totales,90s,Tarjetas_amarillas,Tarjetas_rojas,Segundas_tarjetas_amarillas,Faltas_comprometidas,Faltas_pitadas,Fuera_de_juego
515,Leandro Paredes,IT,Juventus ,MF,28,1994,4,4,354,"3,93",1,0,0,4,4,0
516,Felix Passlack,DE,Dortmund ,DF,24,1998,1,1,90,"1,00",0,0,0,0,3,0
517,Remko Pasveer,NL,Ajax ,GK,38,1983,6,6,540,"6,00",0,0,0,0,0,0
518,Paulinho,PT,Sporting CP,FW,29,1992,5,2,236,"2,62",1,0,0,4,9,1
519,Paulinho,DE,Leverkusen ,FW,22,2000,2,0,49,"0,54",1,0,0,1,0,0
520,Benjamin Pavard,DE,Bayern Munich,DF,26,1996,9,7,592,"6,58",4,1,1,15,6,0
521,Strahinja Pavlović,AT,RB Salzburg,DF,21,2001,6,6,540,"6,00",2,0,0,8,4,0
522,Dimitri Payet,FR,Marseille ,MF,35,1987,2,1,77,"0,86",0,0,0,0,1,0
523,Pedri,ES,Barcelona ,"MF,FW",19,2002,5,5,401,"4,46",0,0,0,1,7,0
524,Luca Pellegrini,DE,Eint Frankfurt,"DF,MF",23,1999,4,1,201,"2,23",1,0,0,3,0,1
525,Iñaki Peña,ES,Barcelona ,GK,23,1999,1,1,90,"1,00",0,0,0,0,0,0
526,Pepe,PT,Porto ,DF,39,1983,4,4,360,"4,00",0,0,0,0,5,1
527,Pepê,PT,Porto ,"DF,FW",25,1997,8,8,685,"7,61",4,1,1,6,12,1
528,Danilo Pereira,FR,Paris S-G,"DF,MF",30,1991,7,5,450,"5,00",0,0,0,1,3,2
529,Dino Perić,HR,Dinamo Zagreb,DF,28,1994,6,6,540,"6,00",0,0,0,4,1,0
530,Mattia Perin,IT,Juventus ,GK,29,1992,2,2,180,"2,00",1,0,0,0,0,0
531,Ivan Perišić,ENG,Tottenham ,"DF,MF",33,1989,7,7,572,"6,36",0,0,0,4,3,1
532,Luděk Pernica,CZ,Viktoria Plzeň,DF,32,1990,6,5,495,"5,50",2,0,0,4,0,0
533,Bruno Petković,HR,Dinamo Zagreb,FW,27,1994,6,6,490,"5,44",1,0,0,10,18,0
534,Ivan Petryak,UA,Shakhtar ,MF,28,1994,6,1,180,"2,00",0,0,0,2,1,1
535,Kalvin Phillips,ENG,Manchester City,MF,26,1995,3,0,41,"0,46",0,0,0,0,0,0
536,Frantzdy Pierrot,IL,Maccabi Haifa,FW,27,1995,6,6,481,"5,34",1,0,0,7,6,10
537,Václav Pilař,CZ,Viktoria Plzeň,"FW,MF",33,1988,5,1,123,"1,37",0,0,0,4,2,1
538,Rodrigo Pinho,PT,Benfica ,FW,31,1991,2,0,15,"0,17",0,0,0,1,1,1
539,Gerard Piqué,ES,Barcelona ,DF,35,1987,4,2,258,"2,87",0,0,0,1,1,0
540,Tommaso Pobega,IT,Milan ,MF,23,1999,8,0,163,"1,81",1,0,0,7,1,0
