ID,Entradas,Entradas_ganadas,Entradas_defensa,Entradas_medio_campo,Entradas_ataque,Regates_parados,Regates_recibidos,Porcent_regates_parados,Regates_perdidos,Bloqueos,Disparos_bloqueados,Pases_bloqueados,Intercepciones,Intercepciones_intentadas,Despejes,Errores,Duelos_aereos_ganados,Duelos_aereos_perdidos,Porcent_duelos_aereos
654,8,6,0,3,5,4,11,"36,36%",7,6,0,6,1,9,10,0,15,18,"45,45%"
655,0,0,0,0,0,0,0,"0,00%",0,0,0,0,0,0,4,0,2,0,"100,00%"
656,11,8,2,4,5,4,9,"44,44%",5,9,3,6,4,15,7,0,3,3,"50,00%"
657,11,5,6,5,0,8,11,"72,73%",3,7,4,3,6,17,13,1,7,8,"46,67%"
658,14,9,4,7,3,9,12,"75,00%",3,8,4,4,7,21,6,0,4,7,"36,36%"
659,6,3,3,3,0,3,6,"50,00%",3,4,0,4,4,10,3,0,1,1,"50,00%"
660,7,2,5,2,0,2,6,"33,33%",4,4,1,3,3,10,15,0,1,3,"25,00%"
661,2,2,0,1,1,1,5,"20,00%",4,0,0,0,0,2,0,0,0,1,"0,00%"
662,10,7,4,5,1,5,5,"100,00%",0,5,0,5,7,17,3,0,6,5,"54,55%"
663,1,1,1,0,0,1,1,"100,00%",0,5,0,5,3,4,0,0,3,3,"50,00%"
664,8,4,3,1,4,4,7,"57,14%",3,7,2,5,4,12,10,1,7,7,"50,00%"
665,0,0,0,0,0,0,0,"0,00%",0,0,0,0,0,0,0,0,1,0,"100,00%"
666,2,2,1,1,0,2,2,"100,00%",0,1,1,0,1,3,1,0,0,1,"0,00%"
667,10,4,7,3,0,5,7,"71,43%",2,6,5,1,10,20,12,0,7,5,"58,33%"
668,2,0,0,2,0,0,1,"0,00%",1,3,1,2,2,4,10,0,1,1,"50,00%"
669,10,5,3,4,3,6,9,"66,67%",3,2,0,2,3,13,4,0,4,5,"44,44%"
670,4,1,1,3,0,1,1,"100,00%",0,9,6,3,8,12,14,1,4,5,"44,44%"
671,22,16,13,9,0,11,14,"78,57%",3,12,8,4,10,32,29,0,9,11,"45,00%"
672,19,13,7,11,1,9,19,"47,37%",10,11,3,8,4,23,10,0,3,9,"25,00%"
673,2,2,0,2,0,0,0,"0,00%",0,1,1,0,1,3,0,1,0,3,"0,00%"
674,2,2,0,0,2,1,2,"50,00%",1,0,0,0,0,2,1,0,0,1,"0,00%"
675,0,0,0,0,0,0,0,"0,00%",0,0,0,0,0,0,1,0,0,0,"0,00%"
676,0,0,0,0,0,0,0,"0,00%",0,0,0,0,0,0,1,0,4,0,"100,00%"
677,5,4,1,4,0,2,4,"50,00%",2,3,0,3,2,7,3,0,1,9,"10,00%"
678,0,0,0,0,0,0,1,"0,00%",1,0,0,0,0,0,1,1,2,0,"100,00%"
679,5,3,1,4,0,2,3,"66,67%",1,5,3,2,2,7,6,0,4,9,"30,77%"
680,1,0,1,0,0,0,2,"0,00%",2,2,1,1,0,1,0,0,0,1,"0,00%"
681,19,11,12,6,1,9,21,"42,86%",12,6,0,6,8,27,26,1,7,7,"50,00%"
682,0,0,0,0,0,0,0,"0,00%",0,0,0,0,0,0,0,0,0,0,"0,00%"
683,29,17,10,18,1,7,14,"50,00%",7,8,0,8,13,42,8,1,6,4,"60,00%"
684,7,1,2,3,2,3,9,"33,33%",6,3,0,3,4,11,13,0,3,1,"75,00%"
685,0,0,0,0,0,0,0,"0,00%",0,0,0,0,0,0,0,0,1,0,"100,00%"
686,3,3,1,1,1,1,2,"50,00%",1,0,0,0,1,4,0,0,0,0,"0,00%"
687,14,8,10,4,0,8,11,"72,73%",3,7,3,4,14,28,22,2,11,6,"64,71%"
688,10,9,3,6,1,3,14,"21,43%",11,6,3,3,11,21,11,0,5,9,"35,71%"
689,2,2,1,0,1,2,2,"100,00%",0,1,1,0,0,2,2,0,0,1,"0,00%"
690,18,7,6,7,5,9,20,"45,00%",11,17,1,16,14,32,13,0,7,5,"58,33%"
691,4,2,3,1,0,1,4,"25,00%",3,4,4,0,4,8,22,0,28,8,"77,78%"
692,5,3,2,2,1,2,5,"40,00%",3,10,2,8,4,9,11,0,28,10,"73,68%"
693,3,1,3,0,0,2,3,"66,67%",1,7,6,1,7,10,22,0,5,1,"83,33%"
694,4,1,1,3,0,0,4,"0,00%",4,1,0,1,3,7,4,0,0,0,"0,00%"
695,16,9,5,10,1,6,9,"66,67%",3,4,1,3,2,18,5,0,5,6,"45,45%"
696,0,0,0,0,0,0,1,"0,00%",1,1,1,0,0,0,1,0,0,0,"0,00%"
697,1,0,1,0,0,1,1,"100,00%",0,2,0,2,0,1,0,0,0,2,"0,00%"
698,27,18,12,12,3,9,28,"32,14%",19,13,5,8,6,33,0,2,5,2,"71,43%"
699,8,6,3,4,1,1,11,"9,09%",10,8,1,7,13,21,1,0,2,3,"40,00%"
700,0,0,0,0,0,0,1,"0,00%",1,1,0,1,0,0,5,0,1,0,"100,00%"
701,1,1,0,1,0,0,2,"0,00%",2,2,1,1,0,1,4,0,3,9,"25,00%"
702,5,2,2,2,1,2,5,"40,00%",3,3,2,1,2,7,5,0,4,3,"57,14%"
703,10,4,9,1,0,4,5,"80,00%",1,6,4,2,4,14,21,0,2,3,"40,00%"
704,9,7,4,3,2,7,9,"77,78%",2,1,1,0,3,12,8,0,3,1,"75,00%"
705,0,0,0,0,0,0,0,"0,00%",0,0,0,0,1,1,0,0,1,0,"100,00%"
706,0,0,0,0,0,0,0,"0,00%",0,1,1,0,1,1,6,0,0,1,"0,00%"
707,3,1,2,1,0,1,3,"33,33%",2,2,0,2,1,4,3,0,2,1,"66,67%"
708,2,0,1,1,0,0,5,"0,00%",5,3,0,3,0,2,3,1,0,0,"0,00%"
709,1,0,0,1,0,1,1,"100,00%",0,1,0,1,2,3,4,0,0,0,"0,00%"
710,1,1,1,0,0,1,1,"100,00%",0,0,0,0,0,1,0,0,1,0,"100,00%"
711,6,3,4,2,0,3,6,"50,00%",3,10,9,1,3,9,8,0,13,8,"61,90%"
712,9,6,6,2,1,3,5,"60,00%",2,3,1,2,0,9,5,0,6,4,"60,00%"
713,3,3,1,1,1,2,4,"50,00%",2,3,0,3,2,5,6,0,2,1,"66,67%"
