ID,Entradas,Entradas_ganadas,Entradas_defensa,Entradas_medio_campo,Entradas_ataque,Regates_parados,Regates_recibidos,Porcent_regates_parados,Regates_perdidos,Bloqueos,Disparos_bloqueados,Pases_bloqueados,Intercepciones,Intercepciones_intentadas,Despejes,Errores,Duelos_aereos_ganados,Duelos_aereos_perdidos,Porcent_duelos_aereos
84,1,0,1,0,0,0,0,"0,00%",0,0,0,0,0,1,0,0,1,0,"100,00%"
85,2,1,0,0,2,0,7,"0,00%",7,3,0,3,0,2,1,0,5,9,"35,71%"
86,0,0,0,0,0,0,1,"0,00%",1,0,0,0,0,0,3,2,0,0,"0,00%"
87,1,0,1,0,0,1,1,"100,00%",0,1,1,0,7,8,7,0,1,1,"50,00%"
88,7,3,2,3,2,2,10,"20,00%",8,5,1,4,2,9,4,0,4,6,"40,00%"
89,6,3,5,1,0,2,5,"40,00%",3,6,2,4,5,11,13,0,5,5,"50,00%"
90,0,0,0,0,0,0,0,"0,00%",0,0,0,0,0,0,0,0,2,9,"18,18%"
91,2,1,0,0,2,0,1,"0,00%",1,1,1,0,0,2,0,0,2,2,"50,00%"
92,18,11,12,4,2,7,18,"38,89%",11,9,5,4,9,27,5,1,6,7,"46,15%"
93,6,3,4,2,0,5,9,"55,56%",4,3,0,3,2,8,2,0,1,3,"25,00%"
94,9,4,8,0,1,5,10,"50,00%",5,3,0,3,0,9,4,0,5,5,"50,00%"
95,2,1,2,0,0,1,1,"100,00%",0,0,0,0,0,2,2,0,0,1,"0,00%"
96,8,8,1,6,1,4,7,"57,14%",3,2,0,2,4,12,2,1,7,2,"77,78%"
97,5,4,3,2,0,3,4,"75,00%",1,5,1,4,1,6,4,0,5,3,"62,50%"
98,0,0,0,0,0,0,1,"0,00%",1,1,0,1,0,0,1,0,0,0,"0,00%"
99,0,0,0,0,0,0,0,"0,00%",0,0,0,0,0,0,0,0,0,0,"0,00%"
100,17,10,15,2,0,10,20,"50,00%",10,9,3,6,15,32,12,0,3,1,"75,00%"
101,16,11,5,8,3,8,20,"40,00%",12,5,3,2,8,24,7,0,7,5,"58,33%"
102,26,17,17,6,3,11,32,"34,38%",21,12,0,12,6,32,11,0,3,3,"50,00%"
103,16,12,7,8,1,7,11,"63,64%",4,13,4,9,13,29,6,1,3,7,"30,00%"
104,4,2,3,1,0,3,7,"42,86%",4,3,0,3,0,4,0,0,0,1,"0,00%"
105,10,7,3,5,2,4,8,"50,00%",4,3,0,3,3,13,3,0,3,2,"60,00%"
106,8,4,5,2,1,5,8,"62,50%",3,9,0,9,4,12,9,0,3,6,"33,33%"
107,0,0,0,0,0,0,1,"0,00%",1,0,0,0,0,0,0,0,0,1,"0,00%"
108,7,3,5,1,1,4,6,"66,67%",2,3,1,2,3,10,15,0,8,10,"44,44%"
109,5,2,4,1,0,1,5,"20,00%",4,2,1,1,4,9,16,0,6,5,"54,55%"
110,6,4,5,0,1,3,7,"42,86%",4,7,4,3,3,9,10,1,3,4,"42,86%"
111,7,4,3,3,1,4,8,"50,00%",4,6,0,6,1,8,1,0,0,2,"0,00%"
112,3,2,2,1,0,2,4,"50,00%",2,2,1,1,4,7,15,0,6,3,"66,67%"
113,18,11,10,6,2,10,19,"52,63%",9,15,4,11,7,25,20,0,6,7,"46,15%"
114,2,1,0,2,0,0,4,"0,00%",4,3,1,2,0,2,0,0,0,1,"0,00%"
115,0,0,0,0,0,0,0,"0,00%",0,2,1,1,0,0,1,0,1,0,"100,00%"
116,4,1,0,4,0,1,1,"100,00%",0,6,0,6,0,4,0,0,0,0,"0,00%"
117,2,1,0,1,1,0,0,"0,00%",0,1,0,1,2,4,0,0,0,0,"0,00%"
118,1,1,1,0,0,0,0,"0,00%",0,1,1,0,0,1,2,0,1,3,"25,00%"
119,8,6,6,2,0,5,10,"50,00%",5,4,4,0,5,13,17,0,10,3,"76,92%"
120,0,0,0,0,0,0,0,"0,00%",0,0,0,0,0,0,0,0,0,0,"0,00%"
121,2,1,0,2,0,0,3,"0,00%",3,5,0,5,1,3,2,0,1,0,"100,00%"
122,0,0,0,0,0,0,0,"0,00%",0,2,0,2,0,0,0,0,0,0,"0,00%"
123,12,8,4,6,2,4,7,"57,14%",3,8,4,4,4,16,5,0,3,4,"42,86%"
124,11,6,5,3,3,3,7,"42,86%",4,5,2,3,7,18,4,0,3,6,"33,33%"
125,3,1,0,0,3,1,3,"33,33%",2,4,0,4,1,4,6,0,18,14,"56,25%"
126,4,1,2,1,1,1,1,"100,00%",0,2,2,0,3,7,4,0,4,0,"100,00%"
127,9,8,7,1,1,4,6,"66,67%",2,4,2,2,9,18,8,0,8,14,"36,36%"
128,6,1,3,3,0,2,5,"40,00%",3,4,1,3,5,11,2,0,0,2,"0,00%"
129,5,2,3,0,2,2,7,"28,57%",5,2,0,2,4,9,0,0,0,0,"0,00%"
130,8,3,6,2,0,5,6,"83,33%",1,4,2,2,6,14,18,1,6,5,"54,55%"
131,0,0,0,0,0,0,0,"0,00%",0,0,0,0,0,0,2,0,0,0,"0,00%"
132,0,0,0,0,0,0,3,"0,00%",3,0,0,0,1,1,2,0,6,14,"30,00%"
133,11,8,3,6,2,5,13,"38,46%",8,10,0,10,2,13,1,0,6,5,"54,55%"
134,0,0,0,0,0,0,0,"0,00%",0,1,0,1,0,0,1,0,0,1,"0,00%"
135,1,1,1,0,0,1,1,"100,00%",0,0,0,0,0,1,1,0,0,0,"0,00%"
136,1,1,0,1,0,0,0,"0,00%",0,3,0,3,0,1,1,0,6,6,"50,00%"
137,11,4,7,2,2,5,7,"71,43%",2,4,1,3,3,14,10,0,5,3,"62,50%"
138,2,0,0,1,1,2,3,"66,67%",1,9,2,7,0,2,0,1,1,3,"25,00%"
139,2,1,1,1,0,0,4,"0,00%",4,1,0,1,0,2,1,0,1,4,"20,00%"
140,2,2,1,1,0,1,1,"100,00%",0,0,0,0,1,3,0,0,0,0,"0,00%"
141,0,0,0,0,0,0,0,"0,00%",0,0,0,0,0,0,3,0,2,0,"100,00%"
142,0,0,0,0,0,0,0,"0,00%",0,0,0,0,1,1,1,0,0,0,"0,00%"
143,1,1,1,0,0,0,2,"0,00%",2,0,0,0,0,1,3,1,4,0,"100,00%"
144,12,7,8,4,0,8,12,"66,67%",4,7,0,7,8,20,4,0,2,4,"33,33%"
145,12,9,6,5,1,8,8,"100,00%",0,9,0,9,8,20,7,0,7,4,"63,64%"
146,2,1,0,0,2,1,1,"100,00%",0,4,0,4,1,3,0,0,0,8,"0,00%"
147,3,1,0,2,1,2,6,"33,33%",4,1,1,0,4,7,5,0,4,3,"57,14%"
148,7,2,6,1,0,3,6,"50,00%",3,3,0,3,7,14,11,0,6,3,"66,67%"
149,0,0,0,0,0,0,0,"0,00%",0,0,0,0,0,0,0,0,0,0,"0,00%"
150,2,1,1,1,0,1,3,"33,33%",2,2,1,1,4,6,0,0,2,0,"100,00%"
151,20,11,14,6,0,8,20,"40,00%",12,9,4,5,19,39,28,0,7,9,"43,75%"
152,3,2,2,0,1,1,2,"50,00%",1,0,0,0,0,3,0,0,3,6,"33,33%"
153,22,10,16,5,1,9,15,"60,00%",6,15,5,10,8,30,12,0,0,2,"0,00%"
154,7,6,0,5,2,3,6,"50,00%",3,3,2,1,5,12,13,1,7,2,"77,78%"
155,3,1,2,1,0,0,0,"0,00%",0,3,3,0,4,7,13,0,5,3,"62,50%"
156,5,4,2,2,1,1,1,"100,00%",0,4,0,4,2,7,3,0,4,1,"80,00%"
157,9,3,1,5,3,2,9,"22,22%",7,4,0,4,2,11,5,0,1,2,"33,33%"
158,2,1,2,0,0,1,4,"25,00%",3,7,1,6,3,5,0,0,2,4,"33,33%"
159,4,2,1,1,2,1,3,"33,33%",2,7,0,7,3,7,2,0,0,0,"0,00%"
160,1,1,0,1,0,1,1,"100,00%",0,1,0,1,1,2,0,0,0,2,"0,00%"
161,19,11,13,5,1,10,12,"83,33%",2,5,1,4,9,28,19,1,5,6,"45,45%"
162,2,2,0,2,0,1,3,"33,33%",2,2,1,1,1,3,5,0,4,1,"80,00%"
163,11,7,3,4,4,4,5,"80,00%",1,1,0,1,2,13,0,0,2,1,"66,67%"
164,7,5,1,6,0,1,6,"16,67%",5,3,0,3,3,10,1,0,1,1,"50,00%"
165,4,1,2,1,1,2,4,"50,00%",2,3,1,2,1,5,0,0,1,2,"33,33%"
166,18,10,12,6,0,10,15,"66,67%",5,9,3,6,12,30,22,0,14,15,"48,28%"
167,1,0,0,0,1,0,0,"0,00%",0,0,0,0,0,1,0,0,0,1,"0,00%"
168,4,2,1,2,1,2,3,"66,67%",1,4,0,4,0,4,0,0,0,5,"0,00%"
169,4,2,2,2,0,1,2,"50,00%",1,1,1,0,1,5,4,0,4,4,"50,00%"
170,26,18,13,11,2,15,18,"83,33%",3,14,8,6,7,33,25,0,22,15,"59,46%"
171,7,3,4,3,0,2,4,"50,00%",2,5,1,4,6,13,0,0,4,7,"36,36%"
172,4,2,2,0,2,2,3,"66,67%",1,3,1,2,0,4,0,0,7,3,"70,00%"
173,7,5,1,6,0,2,5,"40,00%",3,4,3,1,8,15,23,2,18,13,"58,06%"
174,13,7,7,3,3,6,7,"85,71%",1,7,4,3,4,17,10,0,8,3,"72,73%"
175,9,6,3,6,0,6,16,"37,50%",10,10,3,7,10,19,19,0,2,7,"22,22%"
176,8,6,3,5,0,2,5,"40,00%",3,0,0,0,1,9,4,0,2,5,"28,57%"
177,0,0,0,0,0,0,0,"0,00%",0,1,0,1,0,0,0,0,2,0,"100,00%"
178,1,1,1,0,0,1,1,"100,00%",0,2,0,2,2,3,1,0,2,0,"100,00%"
179,0,0,0,0,0,0,0,"0,00%",0,2,0,2,1,1,1,0,2,4,"33,33%"
180,0,0,0,0,0,0,0,"0,00%",0,0,0,0,0,0,7,1,0,0,"0,00%"
181,1,0,1,0,0,0,1,"0,00%",1,0,0,0,0,1,0,0,2,1,"66,67%"
182,0,0,0,0,0,0,1,"0,00%",1,0,0,0,0,0,2,0,1,3,"25,00%"
183,9,6,5,2,2,5,11,"45,45%",6,14,4,10,8,17,19,0,26,15,"63,41%"
184,4,2,2,1,1,3,7,"42,86%",4,11,2,9,0,4,16,0,39,26,"60,00%"
185,0,0,0,0,0,0,0,"0,00%",0,0,0,0,0,0,5,0,0,0,"0,00%"
186,10,4,6,3,1,7,11,"63,64%",4,3,1,2,2,12,9,0,1,1,"50,00%"
187,3,0,3,0,0,1,6,"16,67%",5,1,0,1,1,4,1,0,1,2,"33,33%"
188,1,1,0,1,0,1,1,"100,00%",0,0,0,0,0,1,0,0,1,1,"50,00%"
189,8,5,2,6,0,4,8,"50,00%",4,10,0,10,5,13,4,0,2,4,"33,33%"
190,8,1,1,7,0,5,10,"50,00%",5,5,1,4,0,8,2,0,0,2,"0,00%"
191,18,11,4,6,8,7,14,"50,00%",7,4,0,4,3,21,13,0,9,10,"47,37%"
192,3,2,0,0,3,2,4,"50,00%",2,1,0,1,2,5,3,0,5,7,"41,67%"
193,8,5,4,3,1,7,9,"77,78%",2,2,0,2,0,8,1,0,0,1,"0,00%"
194,2,2,0,2,0,0,0,"0,00%",0,1,1,0,0,2,0,0,0,0,"0,00%"
195,14,7,8,6,0,5,14,"35,71%",9,7,1,6,11,25,9,0,8,5,"61,54%"
196,4,3,0,3,1,1,4,"25,00%",3,4,1,3,1,5,4,0,13,18,"41,94%"
197,13,8,4,8,1,2,11,"18,18%",9,8,3,5,9,22,5,0,10,7,"58,82%"
198,2,0,1,1,0,0,3,"0,00%",3,4,0,4,1,3,0,0,0,3,"0,00%"
199,2,1,1,1,0,1,4,"25,00%",3,3,0,3,7,9,2,0,0,0,"0,00%"
200,4,3,3,1,0,0,0,"0,00%",0,1,0,1,0,4,2,0,1,3,"25,00%"
201,1,1,0,1,0,0,1,"0,00%",1,2,0,2,0,1,0,0,1,7,"12,50%"
202,4,4,3,1,0,1,1,"100,00%",0,4,3,1,1,5,5,1,4,1,"80,00%"
203,2,1,2,0,0,2,5,"40,00%",3,0,0,0,0,2,0,0,3,3,"50,00%"
204,2,0,0,1,1,1,1,"100,00%",0,1,0,1,0,2,0,0,3,0,"100,00%"
205,1,0,1,0,0,1,1,"100,00%",0,2,1,1,0,1,2,0,2,0,"100,00%"
206,19,7,7,8,4,8,13,"61,54%",5,4,1,3,9,28,2,0,1,1,"50,00%"
207,8,7,2,5,1,4,10,"40,00%",6,10,2,8,1,9,3,0,4,5,"44,44%"
208,1,0,0,0,1,1,2,"50,00%",1,3,0,3,1,2,0,0,1,0,"100,00%"
209,0,0,0,0,0,0,1,"0,00%",1,0,0,0,1,1,0,0,3,2,"60,00%"
210,8,2,3,5,0,1,2,"50,00%",1,7,0,7,6,14,2,0,8,7,"53,33%"
211,5,4,2,1,2,2,3,"66,67%",1,3,0,3,5,10,0,0,1,6,"14,29%"
212,15,9,8,7,0,10,17,"58,82%",7,2,0,2,4,19,9,0,11,7,"61,11%"
213,1,1,1,0,0,0,0,"0,00%",0,0,0,0,0,1,0,0,0,0,"0,00%"
214,1,1,0,1,0,0,1,"0,00%",1,2,0,2,1,2,1,0,0,4,"0,00%"
215,8,4,2,3,3,4,12,"33,33%",8,4,0,4,1,9,1,0,0,2,"0,00%"
216,0,0,0,0,0,0,0,"0,00%",0,0,0,0,0,0,0,0,0,0,"0,00%"
217,1,1,0,0,1,0,0,"0,00%",0,0,0,0,1,2,0,0,0,1,"0,00%"
218,0,0,0,0,0,0,0,"0,00%",0,0,0,0,0,0,3,0,5,5,"50,00%"
219,1,1,1,0,0,0,0,"0,00%",0,0,0,0,0,1,0,0,1,0,"100,00%"
220,8,5,3,3,2,7,11,"63,64%",4,4,1,3,5,13,7,0,6,9,"40,00%"
221,2,0,1,0,1,1,1,"100,00%",0,4,0,4,0,2,1,0,1,4,"20,00%"
222,3,1,2,1,0,3,3,"100,00%",0,1,0,1,3,6,10,0,1,0,"100,00%"
223,0,0,0,0,0,0,0,"0,00%",0,0,0,0,0,0,0,0,1,0,"100,00%"
224,6,2,1,3,2,1,4,"25,00%",3,8,0,8,2,8,1,0,1,2,"33,33%"
225,6,5,2,1,3,4,5,"80,00%",1,4,1,3,1,7,1,0,0,0,"0,00%"
226,3,1,2,1,0,2,4,"50,00%",2,14,3,11,10,13,5,0,10,11,"47,62%"
227,9,6,4,3,2,4,9,"44,44%",5,0,0,0,5,14,4,0,3,1,"75,00%"
228,4,2,3,1,0,2,3,"66,67%",1,1,0,1,4,8,5,0,1,2,"33,33%"
229,2,2,2,0,0,2,4,"50,00%",2,3,1,2,2,4,7,0,5,2,"71,43%"
230,7,6,2,3,2,2,4,"50,00%",2,4,1,3,5,12,1,0,5,5,"50,00%"
231,1,1,1,0,0,0,0,"0,00%",0,2,0,2,0,1,0,0,2,3,"40,00%"
232,4,3,1,0,3,0,2,"0,00%",2,5,0,5,4,8,3,0,6,3,"66,67%"
233,0,0,0,0,0,0,1,"0,00%",1,6,3,3,4,4,5,0,7,2,"77,78%"
234,0,0,0,0,0,0,2,"0,00%",2,2,0,2,2,2,0,0,0,1,"0,00%"
235,5,5,4,1,0,3,6,"50,00%",3,3,0,3,6,11,5,0,2,1,"66,67%"
236,7,6,1,5,1,3,9,"33,33%",6,7,0,7,2,9,15,0,50,36,"58,14%"
237,8,3,4,3,1,2,11,"18,18%",9,6,0,6,0,8,2,0,0,3,"0,00%"
238,10,6,7,3,0,4,6,"66,67%",2,6,4,2,4,14,24,0,8,3,"72,73%"
239,6,3,1,5,0,3,7,"42,86%",4,8,3,5,5,11,19,0,1,1,"50,00%"
240,4,2,2,2,0,3,3,"100,00%",0,2,1,1,5,9,6,2,7,0,"100,00%"
241,2,2,0,1,1,1,3,"33,33%",2,0,0,0,3,5,0,0,0,3,"0,00%"
242,4,1,2,2,0,1,2,"50,00%",1,4,0,4,2,6,2,0,6,4,"60,00%"
243,1,0,1,0,0,1,1,"100,00%",0,0,0,0,0,1,0,0,0,2,"0,00%"
244,8,4,3,3,2,5,7,"71,43%",2,5,0,5,3,11,0,0,1,4,"20,00%"
245,16,9,6,7,3,6,17,"35,29%",11,13,3,10,7,23,7,1,7,6,"53,85%"
246,20,13,13,5,2,10,14,"71,43%",4,1,0,1,5,25,10,0,5,9,"35,71%"
247,7,3,2,3,2,4,12,"33,33%",8,5,1,4,3,10,2,0,1,4,"20,00%"
248,12,6,2,10,0,5,9,"55,56%",4,3,0,3,4,16,1,0,5,2,"71,43%"
249,0,0,0,0,0,0,1,"0,00%",1,0,0,0,0,0,1,0,1,0,"100,00%"
250,6,5,2,3,1,2,3,"66,67%",1,2,1,1,3,9,3,0,5,2,"71,43%"
251,0,0,0,0,0,0,1,"0,00%",1,0,0,0,0,0,0,0,0,0,"0,00%"
252,8,5,4,3,1,5,13,"38,46%",8,10,3,7,4,12,6,0,4,8,"33,33%"
253,7,5,3,3,1,4,7,"57,14%",3,5,1,4,2,9,1,0,4,7,"36,36%"
254,1,1,1,0,0,1,6,"16,67%",5,1,0,1,0,1,0,0,0,1,"0,00%"
255,25,10,11,8,6,16,33,"48,48%",17,13,4,9,13,38,17,0,5,10,"33,33%"
256,5,5,4,0,1,2,3,"66,67%",1,4,1,3,4,9,11,0,12,9,"57,14%"
257,3,2,2,0,1,1,8,"12,50%",7,4,2,2,2,5,14,0,13,7,"65,00%"
258,0,0,0,0,0,0,0,"0,00%",0,0,0,0,0,0,1,0,1,0,"100,00%"
259,4,3,1,2,1,3,5,"60,00%",2,3,2,1,6,10,1,0,1,3,"25,00%"
260,7,4,2,3,2,1,4,"25,00%",3,5,2,3,10,17,10,0,3,4,"42,86%"
261,1,0,1,0,0,0,0,"0,00%",0,0,0,0,1,2,0,0,0,1,"0,00%"
262,0,0,0,0,0,0,0,"0,00%",0,0,0,0,0,0,0,2,0,0,"0,00%"
263,12,8,5,4,3,4,12,"33,33%",8,8,1,7,7,19,6,0,9,9,"50,00%"
264,9,6,5,4,0,4,10,"40,00%",6,3,2,1,4,13,25,1,3,6,"33,33%"
265,1,0,0,1,0,1,2,"50,00%",1,5,0,5,2,3,3,0,17,11,"60,71%"
266,12,9,4,7,1,4,5,"80,00%",1,5,1,4,10,22,4,0,3,4,"42,86%"
267,9,6,4,4,1,3,12,"25,00%",9,2,0,2,8,17,7,0,4,3,"57,14%"
268,5,3,2,0,3,5,5,"100,00%",0,2,0,2,2,7,1,0,1,1,"50,00%"
269,0,0,0,0,0,0,0,"0,00%",0,1,0,1,0,0,0,0,3,5,"37,50%"
270,1,0,0,1,0,0,3,"0,00%",3,2,0,2,6,7,2,0,1,1,"50,00%"
271,1,0,0,1,0,1,2,"50,00%",1,3,1,2,3,4,1,0,3,5,"37,50%"
272,0,0,0,0,0,0,0,"0,00%",0,0,0,0,1,1,1,1,0,0,"0,00%"
273,2,2,1,1,0,1,2,"50,00%",1,7,2,5,2,4,9,0,4,1,"80,00%"
274,5,1,2,3,0,2,3,"66,67%",1,4,0,4,3,8,5,0,1,3,"25,00%"
275,12,5,6,3,3,7,8,"87,50%",1,6,0,6,4,16,12,0,4,0,"100,00%"
276,6,3,0,3,3,1,7,"14,29%",6,9,1,8,1,7,4,0,17,17,"50,00%"
277,0,0,0,0,0,0,1,"0,00%",1,1,0,1,1,1,0,0,0,0,"0,00%"
278,3,1,1,2,0,3,6,"50,00%",3,3,1,2,3,6,3,0,1,3,"25,00%"
279,7,5,4,2,1,4,7,"57,14%",3,0,0,0,2,9,3,0,1,1,"50,00%"
280,8,3,7,0,1,1,2,"50,00%",1,9,7,2,7,15,22,0,6,7,"46,15%"
281,7,2,1,2,4,4,7,"57,14%",3,2,0,2,3,10,1,0,0,2,"0,00%"
282,1,1,0,0,1,0,0,"0,00%",0,0,0,0,0,1,4,0,1,0,"100,00%"
283,5,2,3,2,0,5,9,"55,56%",4,2,1,1,3,8,4,0,1,2,"33,33%"
284,1,1,0,0,1,1,3,"33,33%",2,2,1,1,2,3,9,0,2,3,"40,00%"
285,3,2,3,0,0,2,3,"66,67%",1,3,2,1,8,11,2,0,4,2,"66,67%"
286,27,16,12,12,3,10,18,"55,56%",8,7,2,5,6,33,21,2,10,10,"50,00%"
287,10,4,5,2,3,2,8,"25,00%",6,2,0,2,1,11,3,0,1,3,"25,00%"
288,19,11,10,8,1,11,15,"73,33%",4,4,2,2,6,25,14,0,4,7,"36,36%"
289,2,2,2,0,0,0,3,"0,00%",3,2,0,2,0,2,7,0,10,8,"55,56%"
290,5,1,3,2,0,4,8,"50,00%",4,2,0,2,4,9,10,0,0,1,"0,00%"
291,0,0,0,0,0,0,0,"0,00%",0,0,0,0,0,0,1,1,0,0,"0,00%"
292,2,1,1,0,1,2,4,"50,00%",2,0,0,0,3,5,1,0,1,0,"100,00%"
293,8,5,3,5,0,4,9,"44,44%",5,10,5,5,7,15,17,0,3,3,"50,00%"
294,12,8,8,3,1,9,20,"45,00%",11,7,4,3,11,23,6,0,5,1,"83,33%"
295,0,0,0,0,0,0,1,"0,00%",1,0,0,0,1,1,1,0,1,0,"100,00%"
296,4,1,4,0,0,2,6,"33,33%",4,7,3,4,5,9,21,0,5,6,"45,45%"
297,6,3,3,3,0,3,11,"27,27%",8,2,0,2,5,11,1,0,5,6,"45,45%"
298,0,0,0,0,0,0,0,"0,00%",0,0,0,0,0,0,0,1,0,0,"0,00%"
299,7,2,1,6,0,3,7,"42,86%",4,3,1,2,6,13,1,0,4,3,"57,14%"
300,4,3,2,2,0,2,2,"100,00%",0,1,1,0,1,5,1,1,1,0,"100,00%"
301,20,9,11,8,1,11,23,"47,83%",12,7,3,4,3,23,18,2,4,3,"57,14%"
302,14,8,10,4,0,6,15,"40,00%",9,13,1,12,7,21,11,0,3,6,"33,33%"
303,2,1,1,1,0,1,1,"100,00%",0,0,0,0,1,3,1,0,2,1,"66,67%"
304,1,0,0,1,0,1,1,"100,00%",0,2,0,2,0,1,1,0,2,7,"22,22%"
305,4,2,2,2,0,1,4,"25,00%",3,0,0,0,1,5,1,0,1,2,"33,33%"
306,12,7,9,2,1,4,10,"40,00%",6,7,3,4,5,17,12,0,1,3,"25,00%"
307,5,5,4,1,0,3,5,"60,00%",2,5,4,1,5,10,5,0,4,2,"66,67%"
308,8,4,5,3,0,4,8,"50,00%",4,16,11,5,8,16,15,1,7,2,"77,78%"
309,3,1,1,2,0,0,1,"0,00%",1,5,5,0,1,4,6,0,1,6,"14,29%"
310,2,0,2,0,0,1,3,"33,33%",2,2,1,1,7,9,5,0,1,5,"16,67%"
311,4,0,2,1,1,3,4,"75,00%",1,5,0,5,2,6,3,0,3,6,"33,33%"
312,2,0,0,2,0,1,1,"100,00%",0,3,0,3,1,3,0,0,2,0,"100,00%"
313,4,3,1,3,0,1,3,"33,33%",2,5,1,4,3,7,2,0,5,2,"71,43%"
314,4,2,2,2,0,2,5,"40,00%",3,6,3,3,4,8,2,1,1,0,"100,00%"
315,14,6,8,4,2,5,7,"71,43%",2,13,0,13,11,25,6,0,2,3,"40,00%"
316,3,2,2,1,0,1,2,"50,00%",1,2,0,2,0,3,1,0,6,4,"60,00%"
317,10,7,7,3,0,4,12,"33,33%",8,8,0,8,1,11,1,0,1,2,"33,33%"
318,12,7,8,3,1,9,11,"81,82%",2,4,2,2,5,17,9,0,2,2,"50,00%"
319,2,1,0,2,0,0,1,"0,00%",1,3,0,3,0,2,2,0,3,12,"20,00%"
320,4,3,1,1,2,1,2,"50,00%",1,1,0,1,0,4,0,0,0,2,"0,00%"
321,15,8,11,4,0,4,9,"44,44%",5,12,6,6,7,22,17,0,11,11,"50,00%"
322,13,5,6,5,2,4,16,"25,00%",12,9,0,9,14,27,5,0,7,2,"77,78%"
323,17,9,9,6,2,11,19,"57,89%",8,9,3,6,9,26,7,0,6,10,"37,50%"
324,0,0,0,0,0,0,1,"0,00%",1,2,1,1,4,4,1,1,0,1,"0,00%"
325,4,2,0,3,1,4,6,"66,67%",2,1,0,1,1,5,0,0,1,4,"20,00%"
326,8,6,4,3,1,2,3,"66,67%",1,1,0,1,3,11,2,1,0,0,"0,00%"
327,1,0,0,1,0,0,3,"0,00%",3,2,1,1,2,3,6,0,18,10,"64,29%"
328,3,2,0,0,3,2,4,"50,00%",2,2,0,2,2,5,0,0,0,2,"0,00%"
329,0,0,0,0,0,0,0,"0,00%",0,0,0,0,0,0,1,0,1,5,"16,67%"
330,1,1,0,1,0,0,0,"0,00%",0,1,0,1,0,1,0,0,2,5,"28,57%"
331,6,3,3,1,2,1,3,"33,33%",2,4,0,4,1,7,0,0,1,7,"12,50%"
332,6,2,2,3,1,2,3,"66,67%",1,2,0,2,2,8,0,0,2,4,"33,33%"
333,2,1,2,0,0,2,3,"66,67%",1,4,3,1,10,12,21,0,10,8,"55,56%"
334,19,11,9,9,1,8,27,"29,63%",19,18,5,13,20,39,7,0,3,3,"50,00%"
335,2,2,1,1,0,0,0,"0,00%",0,1,0,1,2,4,2,0,1,0,"100,00%"
336,10,5,8,1,1,3,11,"27,27%",8,5,2,3,5,15,12,0,4,6,"40,00%"
337,6,4,4,2,0,5,8,"62,50%",3,10,5,5,6,12,24,0,6,8,"42,86%"
338,21,11,6,10,5,9,18,"50,00%",9,10,2,8,4,25,2,0,0,1,"0,00%"
339,0,0,0,0,0,0,4,"0,00%",4,1,0,1,0,0,2,0,1,4,"20,00%"
340,0,0,0,0,0,0,1,"0,00%",1,0,0,0,0,0,1,0,2,0,"100,00%"
341,3,1,3,0,0,2,2,"100,00%",0,3,1,2,0,3,0,0,0,0,"0,00%"
342,9,6,7,2,0,0,6,"0,00%",6,3,1,2,6,15,1,0,1,4,"20,00%"
343,0,0,0,0,0,0,0,"0,00%",0,0,0,0,0,0,1,0,1,0,"100,00%"
344,1,0,1,0,0,1,1,"100,00%",0,0,0,0,0,1,1,0,0,0,"0,00%"
345,0,0,0,0,0,0,0,"0,00%",0,0,0,0,0,0,0,0,1,1,"50,00%"
346,2,1,1,1,0,0,3,"0,00%",3,2,1,1,1,3,0,0,4,0,"100,00%"
347,5,3,3,2,0,3,4,"75,00%",1,1,0,1,1,6,3,0,2,0,"100,00%"
348,4,4,1,2,1,0,0,"0,00%",0,4,2,2,2,6,0,0,10,19,"34,48%"
349,6,5,4,2,0,3,3,"100,00%",0,4,3,1,1,7,11,0,7,2,"77,78%"
350,8,4,1,6,1,5,5,"100,00%",0,4,0,4,7,15,2,0,3,4,"42,86%"
351,10,7,3,6,1,5,11,"45,45%",6,8,1,7,2,12,12,1,2,5,"28,57%"
352,1,1,1,0,0,1,3,"33,33%",2,1,0,1,1,2,0,0,0,2,"0,00%"
353,10,6,7,3,0,5,5,"100,00%",0,3,1,2,4,14,20,0,9,7,"56,25%"
354,8,4,3,2,3,6,16,"37,50%",10,3,1,2,0,8,4,0,1,1,"50,00%"
355,12,7,9,2,1,7,11,"63,64%",4,17,6,11,8,20,21,0,15,18,"45,45%"
356,7,3,5,2,0,7,8,"87,50%",1,1,1,0,3,10,2,0,6,7,"46,15%"
357,11,5,3,7,1,8,16,"50,00%",8,8,1,7,6,17,2,0,2,6,"25,00%"
358,0,0,0,0,0,0,0,"0,00%",0,0,0,0,0,0,0,0,0,0,"0,00%"
359,26,16,11,12,3,11,18,"61,11%",7,7,2,5,9,35,2,0,2,2,"50,00%"
360,17,11,10,5,2,7,21,"33,33%",14,15,8,7,7,24,8,1,12,7,"63,16%"
361,0,0,0,0,0,0,1,"0,00%",1,0,0,0,0,0,0,0,0,0,"0,00%"
362,0,0,0,0,0,0,0,"0,00%",0,0,0,0,0,0,0,0,0,0,"0,00%"
363,5,3,0,4,1,2,4,"50,00%",2,4,0,4,1,6,0,0,0,3,"0,00%"
364,12,10,8,1,3,8,17,"47,06%",9,6,0,6,2,14,5,0,5,10,"33,33%"
365,10,6,4,4,2,3,12,"25,00%",9,4,0,4,2,12,2,0,0,6,"0,00%"
